d,c
1992-01-22,0.632813
1992-01-23,0.687500
1992-01-24,0.695313
1992-01-27,0.750000
1992-01-28,0.734375
1992-01-29,0.679688
1992-01-30,0.609375
1992-01-31,0.648438
1992-02-03,0.640625
1992-02-04,0.679688
1992-02-05,0.664063
1992-02-06,0.687500
1992-02-07,0.648438
1992-02-10,0.617188
1992-02-11,0.562500
1992-02-12,0.570313
1992-02-13,0.554688
1992-02-14,0.535156
1992-02-18,0.492188
1992-02-19,0.507813
1992-02-20,0.570313
1992-02-21,0.593750
1992-02-24,0.601563
1992-02-25,0.546875
1992-02-26,0.546875
1992-02-27,0.554688
1992-02-28,0.554688
1992-03-02,0.507813
1992-03-03,0.539063
1992-03-04,0.546875
1992-03-05,0.531250
1992-03-06,0.515625
1992-03-09,0.546875
1992-03-10,0.585938
1992-03-11,0.554688
1992-03-12,0.539063
1992-03-13,0.531250
1992-03-16,0.523438
1992-03-17,0.523438
1992-03-18,0.527344
1992-03-19,0.601563
1992-03-20,0.531250
1992-03-23,0.539063
1992-03-24,0.531250
1992-03-25,0.531250
1992-03-26,0.531250
1992-03-27,0.476563
1992-03-30,0.507813
1992-03-31,0.515625
1992-04-01,0.488281
1992-04-02,0.468750
1992-04-03,0.476563
1992-04-06,0.484375
1992-04-07,0.406250
1992-04-08,0.414063
1992-04-09,0.429688
1992-04-10,0.421875
1992-04-13,0.390625
1992-04-14,0.390625
1992-04-15,0.390625
1992-04-16,0.367188
1992-04-20,0.343750
1992-04-21,0.351563
1992-04-22,0.343750
1992-04-23,0.367188
1992-04-24,0.367188
1992-04-27,0.351563
1992-04-28,0.371094
1992-04-29,0.359375
1992-04-30,0.406250
1992-05-01,0.390625
1992-05-04,0.417969
1992-05-05,0.437500
1992-05-06,0.453125
1992-05-07,0.453125
1992-05-08,0.421875
1992-05-11,0.429688
1992-05-12,0.398438
1992-05-13,0.375000
1992-05-14,0.343750
1992-05-15,0.359375
1992-05-18,0.351563
1992-05-19,0.351563
1992-05-20,0.375000
1992-05-21,0.406250
1992-05-22,0.406250
1992-05-26,0.382813
1992-05-27,0.375000
1992-05-28,0.375000
1992-05-29,0.382813
1992-06-01,0.359375
1992-06-02,0.375000
1992-06-03,0.382813
1992-06-04,0.382813
1992-06-05,0.375000
1992-06-08,0.375000
1992-06-09,0.359375
1992-06-10,0.359375
1992-06-11,0.367188
1992-06-12,0.312500
1992-06-15,0.335938
1992-06-16,0.324219
1992-06-17,0.320313
1992-06-18,0.335938
1992-06-19,0.335938
1992-06-22,0.312500
1992-06-23,0.320313
1992-06-24,0.312500
1992-06-25,0.335938
1992-06-26,0.343750
1992-06-29,0.320313
1992-06-30,0.382813
1992-07-01,0.375000
1992-07-02,0.375000
1992-07-06,0.367188
1992-07-07,0.390625
1992-07-08,0.382813
1992-07-09,0.406250
1992-07-10,0.406250
1992-07-13,0.390625
1992-07-14,0.390625
1992-07-15,0.398438
1992-07-16,0.390625
1992-07-17,0.406250
1992-07-20,0.406250
1992-07-21,0.406250
1992-07-22,0.398438
1992-07-23,0.382813
1992-07-24,0.390625
1992-07-27,0.375000
1992-07-28,0.375000
1992-07-29,0.375000
1992-07-30,0.375000
1992-07-31,0.375000
1992-08-03,0.386719
1992-08-04,0.375000
1992-08-05,0.359375
1992-08-06,0.347656
1992-08-07,0.347656
1992-08-10,0.320313
1992-08-11,0.320313
1992-08-12,0.320313
1992-08-13,0.335938
1992-08-14,0.335938
1992-08-17,0.335938
1992-08-18,0.335938
1992-08-19,0.320313
1992-08-20,0.324219
1992-08-21,0.328125
1992-08-24,0.335938
1992-08-25,0.320313
1992-08-26,0.312500
1992-08-27,0.312500
1992-08-28,0.312500
1992-08-31,0.312500
1992-09-01,0.316406
1992-09-02,0.328125
1992-09-03,0.328125
1992-09-04,0.320313
1992-09-08,0.324219
1992-09-09,0.324219
1992-09-10,0.324219
1992-09-11,0.328125
1992-09-14,0.328125
1992-09-15,0.328125
1992-09-16,0.332031
1992-09-17,0.343750
1992-09-18,0.328125
1992-09-21,0.328125
1992-09-22,0.328125
1992-09-23,0.335938
1992-09-24,0.343750
1992-09-25,0.351563
1992-09-28,0.351563
1992-09-29,0.335938
1992-09-30,0.351563
1992-10-01,0.343750
1992-10-02,0.343750
1992-10-05,0.343750
1992-10-06,0.328125
1992-10-07,0.351563
1992-10-08,0.351563
1992-10-09,0.351563
1992-10-12,0.351563
1992-10-13,0.359375
1992-10-14,0.351563
1992-10-15,0.351563
1992-10-16,0.351563
1992-10-19,0.375000
1992-10-20,0.367188
1992-10-21,0.378906
1992-10-22,0.390625
1992-10-23,0.390625
1992-10-26,0.417969
1992-10-27,0.433594
1992-10-28,0.437500
1992-10-29,0.437500
1992-10-30,0.429688
1992-11-02,0.429688
1992-11-03,0.445313
1992-11-04,0.429688
1992-11-05,0.414063
1992-11-06,0.406250
1992-11-09,0.429688
1992-11-10,0.437500
1992-11-11,0.445313
1992-11-12,0.460938
1992-11-13,0.453125
1992-11-16,0.453125
1992-11-17,0.453125
1992-11-18,0.429688
1992-11-19,0.429688
1992-11-20,0.421875
1992-11-23,0.421875
1992-11-24,0.406250
1992-11-25,0.437500
1992-11-27,0.437500
1992-11-30,0.492188
1992-12-01,0.492188
