d,c
2004-08-19,2.511011
2004-08-20,2.710460
2004-08-23,2.737738
2004-08-24,2.624374
2004-08-25,2.652653
2004-08-26,2.700450
2004-08-27,2.656406
2004-08-30,2.552803
2004-08-31,2.561812
2004-09-01,2.508759
2004-09-02,2.540290
2004-09-03,2.502753
2004-09-07,2.542042
2004-09-08,2.560060
2004-09-09,2.560310
2004-09-10,2.635886
2004-09-13,2.690190
2004-09-14,2.790040
2004-09-15,2.802803
2004-09-16,2.852102
2004-09-17,2.940190
2004-09-20,2.986987
2004-09-21,2.948949
2004-09-22,2.962462
2004-09-23,3.023524
2004-09-24,2.998749
2004-09-27,2.959459
2004-09-28,3.174675
2004-09-29,3.280280
2004-09-30,3.243243
2004-10-01,3.317818
2004-10-04,3.379880
2004-10-05,3.462713
2004-10-06,3.430430
2004-10-07,3.474725
2004-10-08,3.446697
2004-10-11,3.384885
2004-10-12,3.438438
2004-10-13,3.526026
2004-10-14,3.553554
2004-10-15,3.606356
2004-10-18,3.732733
2004-10-19,3.702202
2004-10-20,3.515766
2004-10-21,3.738238
2004-10-22,4.315065
2004-10-25,4.689690
2004-10-26,4.549550
2004-10-27,4.653904
2004-10-28,4.837337
2004-10-29,4.770771
2004-11-01,4.905656
2004-11-02,4.876627
2004-11-03,4.796547
2004-11-04,4.622122
2004-11-05,4.237988
2004-11-08,4.318068
2004-11-09,4.221722
2004-11-10,4.200701
2004-11-11,4.580080
2004-11-12,4.554555
2004-11-15,4.626376
2004-11-16,4.317818
2004-11-17,4.316817
2004-11-18,4.192693
2004-11-19,4.239239
2004-11-22,4.131632
2004-11-23,4.192192
2004-11-24,4.373373
2004-11-26,4.489239
2004-11-29,4.530781
2004-11-30,4.554054
2004-12-01,4.503504
2004-12-02,4.489489
2004-12-03,4.514515
2004-12-06,4.411662
2004-12-07,4.290040
2004-12-08,4.253754
2004-12-09,4.340090
2004-12-10,4.295546
2004-12-13,4.265516
2004-12-14,4.471722
2004-12-15,4.498999
2004-12-16,4.416166
2004-12-17,4.506507
2004-12-20,4.630130
2004-12-21,4.598348
2004-12-22,4.662162
2004-12-23,4.702202
2004-12-27,4.802553
2004-12-28,4.823824
2004-12-29,4.827327
2004-12-30,4.944945
2004-12-31,4.824575
2005-01-03,5.072823
2005-01-04,4.867367
2005-01-05,4.842593
2005-01-06,4.718468
2005-01-07,4.851101
2005-01-10,4.881381
2005-01-11,4.843343
2005-01-12,4.889389
2005-01-13,4.888138
2005-01-14,5.004254
2005-01-18,5.102603
2005-01-19,4.937437
2005-01-20,4.852853
2005-01-21,4.711712
2005-01-24,4.522523
2005-01-25,4.432432
2005-01-26,4.735736
2005-01-27,4.706707
2005-01-28,4.763263
2005-01-31,4.895395
2005-02-01,4.802302
2005-02-02,5.154154
2005-02-03,5.276777
2005-02-04,5.114114
2005-02-07,4.905656
2005-02-08,4.970971
2005-02-09,4.794294
2005-02-10,4.704204
2005-02-11,4.689690
2005-02-14,4.829580
2005-02-15,4.885636
2005-02-16,4.965215
2005-02-17,4.952452
2005-02-18,4.953704
2005-02-22,4.789039
2005-02-23,4.853604
2005-02-24,4.726977
2005-02-25,4.651401
2005-02-28,4.704454
2005-03-01,4.656156
2005-03-02,4.634134
2005-03-03,4.679930
2005-03-04,4.652152
2005-03-07,4.724975
2005-03-08,4.634635
2005-03-09,4.538288
2005-03-10,4.504004
2005-03-11,4.449449
2005-03-14,4.379129
2005-03-15,4.469720
2005-03-16,4.394394
2005-03-17,4.486737
2005-03-18,4.505506
2005-03-21,4.526527
2005-03-22,4.469469
2005-03-23,4.478979
2005-03-24,4.485736
2005-03-28,4.540040
2005-03-29,4.493744
2005-03-30,4.515766
2005-03-31,4.517267
2005-04-01,4.505506
2005-04-04,4.636887
2005-04-05,4.718969
2005-04-06,4.735235
2005-04-07,4.848849
2005-04-08,4.806056
2005-04-11,4.835586
2005-04-12,4.853854
2005-04-13,4.828078
2005-04-14,4.791041
2005-04-15,4.629630
2005-04-18,4.678929
2005-04-19,4.789790
2005-04-20,4.957457
2005-04-21,5.110611
2005-04-22,5.400651
2005-04-25,5.593844
2005-04-26,5.474224
2005-04-27,5.500000
2005-04-28,5.491742
2005-04-29,5.505506
2005-05-02,5.562813
2005-05-03,5.660410
2005-05-04,5.718218
2005-05-05,5.680180
2005-05-06,5.706206
2005-05-09,5.656156
2005-05-10,5.700701
2005-05-11,5.788038
2005-05-12,5.723724
2005-05-13,5.736737
2005-05-16,5.782032
2005-05-17,5.834084
2005-05-18,5.984985
2005-05-19,5.985485
2005-05-20,6.046296
2005-05-23,6.392643
2005-05-24,6.406406
2005-05-25,6.526777
2005-05-26,6.486486
2005-05-27,6.656657
2005-05-31,6.938689
2005-06-01,7.207207
2005-06-02,7.204705
2005-06-03,7.013514
2005-06-06,7.280781
2005-06-07,7.335335
2005-06-08,6.995996
2005-06-09,7.164915
2005-06-10,7.069570
2005-06-13,7.075826
2005-06-14,6.965716
2005-06-15,6.876877
2005-06-16,6.942943
2005-06-17,7.014515
2005-06-20,7.174675
2005-06-21,7.203203
2005-06-22,7.239740
2005-06-23,7.250000
2005-06-24,7.438689
2005-06-27,7.610110
2005-06-28,7.557558
2005-06-29,7.325325
2005-06-30,7.361111
2005-07-01,7.288539
2005-07-05,7.400150
2005-07-06,7.295295
2005-07-07,7.395896
2005-07-08,7.413163
2005-07-11,7.341091
2005-07-12,7.301802
2005-07-13,7.478979
2005-07-14,7.529780
2005-07-15,7.537287
2005-07-18,7.495996
2005-07-19,7.755255
2005-07-20,7.807808
2005-07-21,7.856356
2005-07-22,7.567568
2005-07-25,7.403654
2005-07-26,7.409660
2005-07-27,7.430681
2005-07-28,7.344845
2005-07-29,7.201201
2005-08-01,7.297548
2005-08-02,7.487237
2005-08-03,7.439940
2005-08-04,7.450701
2005-08-05,7.316066
2005-08-08,7.288539
2005-08-09,7.296547
2005-08-10,7.149149
2005-08-11,7.108358
2005-08-12,7.250250
2005-08-15,7.107107
2005-08-16,7.148398
2005-08-17,7.134635
2005-08-18,7.006757
2005-08-19,7.007007
2005-08-22,6.857107
2005-08-23,6.996496
2005-08-24,7.071321
2005-08-25,7.071822
2005-08-26,7.096597
2005-08-29,7.218468
2005-08-30,7.188939
2005-08-31,7.157157
2005-09-01,7.163413
2005-09-02,7.218468
2005-09-06,7.184935
2005-09-07,7.379129
2005-09-08,7.392142
2005-09-09,7.484735
2005-09-12,7.751251
2005-09-13,7.799800
2005-09-14,7.582583
2005-09-15,7.573073
2005-09-16,7.512513
2005-09-19,7.602352
2005-09-20,7.705455
2005-09-21,7.805305
2005-09-22,7.792042
2005-09-23,7.891892
2005-09-26,7.864865
2005-09-27,7.856356
2005-09-28,7.657658
2005-09-29,7.748248
2005-09-30,7.919419
2005-10-03,7.974975
2005-10-04,7.782783
2005-10-05,7.775526
2005-10-06,7.826577
2005-10-07,7.832583
2005-10-10,7.774024
2005-10-11,7.660160
2005-10-12,7.531782
2005-10-13,7.443443
2005-10-14,7.410911
2005-10-17,7.632633
2005-10-18,7.589590
2005-10-19,7.725225
2005-10-20,7.587588
2005-10-21,8.506006
2005-10-24,8.724975
2005-10-25,8.681431
2005-10-26,8.894895
2005-10-27,8.835335
2005-10-28,8.963213
2005-10-31,9.312813
2005-11-01,9.493994
2005-11-02,9.501502
2005-11-03,9.658408
2005-11-04,9.770521
2005-11-07,9.885636
2005-11-08,9.757257
2005-11-09,9.488238
2005-11-10,9.787287
2005-11-11,9.769770
2005-11-14,9.934184
2005-11-15,9.829830
2005-11-16,9.963714
2005-11-17,10.096346
2005-11-18,10.015265
2005-11-21,10.244244
2005-11-22,10.422172
2005-11-23,10.582082
2005-11-25,10.726226
2005-11-28,10.597598
2005-11-29,10.098599
2005-11-30,10.132883
2005-12-01,10.362613
2005-12-02,10.452953
2005-12-05,10.156406
2005-12-06,10.123624
2005-12-07,10.115616
2005-12-08,10.276527
2005-12-09,10.240240
2005-12-12,10.325576
2005-12-13,10.447698
2005-12-14,10.484484
2005-12-15,10.574324
2005-12-16,10.764515
2005-12-19,10.625626
2005-12-20,10.754254
2005-12-21,10.668919
2005-12-22,10.811812
2005-12-23,10.784034
2005-12-27,10.626627
2005-12-28,10.677928
2005-12-29,10.514264
2005-12-30,10.381882
2006-01-03,10.891642
2006-01-04,11.142142
2006-01-05,11.292292
2006-01-06,11.653153
2006-01-09,11.684184
2006-01-10,11.755756
2006-01-11,11.802553
2006-01-12,11.602352
2006-01-13,11.667918
2006-01-17,11.689439
2006-01-18,11.133884
2006-01-19,10.922172
2006-01-20,9.996496
2006-01-23,10.698198
2006-01-24,11.086837
2006-01-25,10.835836
2006-01-26,10.867618
2006-01-27,10.848098
2006-01-30,10.681181
2006-01-31,10.827327
2006-02-01,10.054555
2006-02-02,9.910911
2006-02-03,9.548298
2006-02-06,9.637137
2006-02-07,9.207207
2006-02-08,9.236236
2006-02-09,8.978228
2006-02-10,9.074324
2006-02-13,8.651151
2006-02-14,8.591592
2006-02-15,8.568068
2006-02-16,9.170671
2006-02-17,9.227978
2006-02-21,9.173924
2006-02-22,9.146396
2006-02-23,9.461211
2006-02-24,9.444444
2006-02-27,9.769269
2006-02-28,9.074575
2006-03-01,9.129129
2006-03-02,9.420671
2006-03-03,9.463964
2006-03-06,9.211712
2006-03-07,9.120370
2006-03-08,8.855856
2006-03-09,8.583584
2006-03-10,8.445946
2006-03-13,8.434935
2006-03-14,8.787788
2006-03-15,8.621121
2006-03-16,8.477728
2006-03-17,8.503253
2006-03-20,8.713463
2006-03-21,8.506507
2006-03-22,8.514014
2006-03-23,8.555806
2006-03-24,9.154154
2006-03-27,9.251502
2006-03-28,9.439439
2006-03-29,9.884384
2006-03-30,9.720721
2006-03-31,9.759760
2006-04-03,9.752252
2006-04-04,10.118619
2006-04-05,10.209960
2006-04-06,10.289790
2006-04-07,10.164164
2006-04-10,10.419920
2006-04-11,10.251752
2006-04-12,10.233984
2006-04-13,10.064064
2006-04-17,10.180681
2006-04-18,10.116116
2006-04-19,10.272773
2006-04-20,10.385385
2006-04-21,10.938438
2006-04-24,11.023524
2006-04-25,10.689690
2006-04-26,10.659910
2006-04-27,10.511261
2006-04-28,10.458959
2006-05-01,9.982482
2006-05-02,9.879880
2006-05-03,9.864114
2006-05-04,9.878629
2006-05-05,9.867367
2006-05-08,9.879379
2006-05-09,10.230230
2006-05-10,10.084585
2006-05-11,9.684685
2006-05-12,9.362613
2006-05-15,9.414414
2006-05-16,9.291792
2006-05-17,9.371872
2006-05-18,9.284034
2006-05-19,9.259760
2006-05-22,9.283033
2006-05-23,9.398899
2006-05-24,9.540791
2006-05-25,9.584334
2006-05-26,9.543293
2006-05-30,9.307808
2006-05-31,9.304805
2006-06-01,9.575075
2006-06-02,9.495495
2006-06-05,9.370370
2006-06-06,9.759510
2006-06-07,9.672422
2006-06-08,9.842342
2006-06-09,9.673924
2006-06-12,9.548048
2006-06-13,9.672673
2006-06-14,9.619369
2006-06-15,9.784785
2006-06-16,9.777277
2006-06-19,9.713213
2006-06-20,9.688939
2006-06-21,10.063313
2006-06-22,10.008759
2006-06-23,10.131632
2006-06-26,10.115616
2006-06-27,10.068068
2006-06-28,10.162913
2006-06-29,10.455706
2006-06-30,10.493744
2006-07-03,10.590591
2006-07-05,10.547047
2006-07-06,10.590340
2006-07-07,10.521772
2006-07-10,10.465465
2006-07-11,10.624625
2006-07-12,10.441692
2006-07-13,10.230981
2006-07-14,10.097598
2006-07-17,10.207457
2006-07-18,10.086336
2006-07-19,9.984985
2006-07-20,9.687688
2006-07-21,9.762513
2006-07-24,9.782282
2006-07-25,9.743744
2006-07-26,9.647147
2006-07-27,9.569570
2006-07-28,9.712713
2006-07-31,9.674675
2006-08-01,9.397147
2006-08-02,9.189940
2006-08-03,9.394144
2006-08-04,9.355606
2006-08-07,9.458208
2006-08-08,9.534535
2006-08-09,9.432933
2006-08-10,9.364364
2006-08-11,9.221722
2006-08-14,9.244995
2006-08-15,9.533784
2006-08-16,9.702703
2006-08-17,9.654655
2006-08-18,9.593594
2006-08-21,9.441942
2006-08-22,9.466717
2006-08-23,9.345095
2006-08-24,9.352603
2006-08-25,9.340841
2006-08-28,9.533283
2006-08-29,9.483233
2006-08-30,9.528278
2006-08-31,9.472723
2006-09-01,9.474474
2006-09-05,9.618619
2006-09-06,9.513013
2006-09-07,9.471722
2006-09-08,9.455706
2006-09-11,9.611862
2006-09-12,9.807307
2006-09-13,10.174424
2006-09-14,10.109610
2006-09-15,10.257257
2006-09-18,10.377628
2006-09-19,10.105355
2006-09-20,9.934935
2006-09-21,10.181431
2006-09-22,10.104605
2006-09-25,10.109610
2006-09-26,10.181932
2006-09-27,10.083083
2006-09-28,10.099600
2006-09-29,10.057558
2006-10-02,10.046046
2006-10-03,10.111111
2006-10-04,10.402903
2006-10-05,10.305556
2006-10-06,10.523023
2006-10-09,10.735736
2006-10-10,10.676927
2006-10-11,10.673173
2006-10-12,10.696697
2006-10-13,10.693193
2006-10-16,10.554304
2006-10-17,10.526527
2006-10-18,10.493243
2006-10-19,10.662162
2006-10-20,11.503253
2006-10-23,12.031532
2006-10-24,11.844595
2006-10-25,12.177177
2006-10-26,12.139640
2006-10-27,11.891892
2006-10-30,11.926176
2006-10-31,11.921672
2006-11-01,11.699199
2006-11-02,11.759510
2006-11-03,11.806807
2006-11-06,11.935686
2006-11-07,11.826076
2006-11-08,11.886887
2006-11-09,11.827578
2006-11-10,11.850601
2006-11-13,12.037788
2006-11-14,12.244745
2006-11-15,12.310561
2006-11-16,12.409910
2006-11-17,12.482232
2006-11-20,12.388639
2006-11-21,12.754004
2006-11-22,12.712963
2006-11-24,12.637638
2006-11-27,12.130881
2006-11-28,12.249750
2006-11-29,12.128378
2006-11-30,12.132382
2006-12-01,12.032032
2006-12-04,12.133383
2006-12-05,12.187187
2006-12-06,12.229980
2006-12-07,12.078078
2006-12-08,12.114865
2006-12-11,12.110360
2006-12-12,12.056557
2006-12-13,11.986737
2006-12-14,12.065065
2006-12-15,12.019520
2006-12-18,11.581582
2006-12-19,11.727477
2006-12-20,11.584084
2006-12-21,11.416416
2006-12-22,11.400901
2006-12-26,11.449700
2006-12-27,11.712462
2006-12-28,11.575576
2006-12-29,11.523524
2007-01-03,11.701451
2007-01-04,12.093594
2007-01-05,12.191942
2007-01-08,12.101602
2007-01-09,12.149650
2007-01-10,12.248749
2007-01-11,12.505506
2007-01-12,12.637638
2007-01-16,12.619620
2007-01-17,12.444444
2007-01-18,12.207958
2007-01-19,12.256006
2007-01-22,12.033033
2007-01-23,11.988238
2007-01-24,12.489239
2007-01-25,12.214464
2007-01-26,12.408408
2007-01-29,12.324074
2007-01-30,12.370370
2007-01-31,12.550050
2007-02-01,12.055806
2007-02-02,12.049550
2007-02-05,11.690691
2007-02-06,11.798799
2007-02-07,11.762012
2007-02-08,11.787538
2007-02-09,11.558809
2007-02-12,11.468719
2007-02-13,11.488989
