d,c
1970-01-02,3.946208
1970-01-05,4.083638
1970-01-06,4.083638
1970-01-07,4.064006
1970-01-08,4.162170
1970-01-09,4.122904
1970-01-12,4.103271
1970-01-13,3.965841
1970-01-14,4.064006
1970-01-15,3.965841
1970-01-16,3.965841
1970-01-19,3.985474
1970-01-20,3.965841
1970-01-21,4.279967
1970-01-22,4.142537
1970-01-23,4.064006
1970-01-26,3.926575
1970-01-27,3.926575
1970-01-28,3.730247
1970-01-29,3.671348
1970-01-30,3.690981
1970-02-02,3.730247
1970-02-03,3.769512
1970-02-04,3.671348
1970-02-05,3.612449
1970-02-06,3.612449
1970-02-09,3.612449
1970-02-10,3.612449
1970-02-11,3.651715
1970-02-12,3.612449
1970-02-13,3.612449
1970-02-16,3.632082
1970-02-17,3.533918
1970-02-18,3.573184
1970-02-19,3.553551
1970-02-20,3.592816
1970-02-24,3.612449
1970-02-25,3.612449
1970-02-26,3.592816
1970-02-27,3.690981
1970-03-02,3.769512
1970-03-03,3.867677
1970-03-04,3.887310
1970-03-05,3.867677
1970-03-06,3.789145
1970-03-09,3.769512
1970-03-10,3.808778
1970-03-11,3.789145
1970-03-12,3.749880
1970-03-13,3.789145
1970-03-16,3.749880
1970-03-17,3.749880
1970-03-18,3.730247
1970-03-19,3.690981
1970-03-20,3.690981
1970-03-23,3.671348
1970-03-24,3.749880
1970-03-25,3.808778
1970-03-26,3.808778
1970-03-30,3.769512
1970-03-31,3.730247
1970-04-01,3.769512
1970-04-02,3.749880
1970-04-03,3.789145
1970-04-06,3.730247
1970-04-07,3.789145
1970-04-08,3.749880
1970-04-09,3.730247
1970-04-10,3.651715
1970-04-13,3.671348
1970-04-14,3.651715
1970-04-15,3.632082
1970-04-16,3.396488
1970-04-17,3.298323
1970-04-20,3.259058
1970-04-21,3.239425
1970-04-22,3.259058
1970-04-23,3.259058
1970-04-24,3.239425
1970-04-27,3.259058
1970-04-28,3.121627
1970-04-29,3.298323
1970-04-30,3.219792
1970-05-01,3.141260
1970-05-04,3.082362
1970-05-05,3.062729
1970-05-06,3.062729
1970-05-07,3.023463
1970-05-08,2.984197
1970-05-11,2.925299
1970-05-12,2.905666
1970-05-13,2.866400
1970-05-14,2.827134
1970-05-15,2.866400
1970-05-18,2.866400
1970-05-19,2.748603
1970-05-20,2.670071
1970-05-21,2.748603
1970-05-22,2.728970
1970-05-25,2.532641
1970-05-26,2.552274
1970-05-27,2.768236
1970-05-28,3.003830
1970-05-29,3.101995
1970-06-01,3.062729
1970-06-02,3.003830
1970-06-03,3.043096
1970-06-04,2.944932
1970-06-05,2.886033
1970-06-08,2.886033
1970-06-09,2.827134
1970-06-10,2.787869
1970-06-11,2.748603
1970-06-12,2.748603
1970-06-15,2.748603
1970-06-16,2.787869
1970-06-17,2.807501
1970-06-18,2.787869
1970-06-19,2.807501
1970-06-22,2.709337
1970-06-23,2.670071
1970-06-24,2.611173
1970-06-25,2.689704
1970-06-26,2.748603
1970-06-29,2.630806
1970-06-30,2.670071
1970-07-01,2.768236
1970-07-02,2.748603
1970-07-06,2.650438
1970-07-07,2.670071
1970-07-08,2.650438
1970-07-09,2.748603
1970-07-10,2.866400
1970-07-13,3.082362
1970-07-14,3.023463
1970-07-15,3.043096
1970-07-16,3.003830
1970-07-17,3.023463
1970-07-20,2.886033
1970-07-21,2.827134
1970-07-22,2.886033
1970-07-23,3.043096
1970-07-24,3.003830
1970-07-27,3.003830
1970-07-28,2.964564
1970-07-29,2.984197
1970-07-30,2.886033
1970-07-31,2.944932
1970-08-03,2.866400
1970-08-04,2.846767
1970-08-05,2.827134
1970-08-06,2.787869
1970-08-07,2.827134
1970-08-10,2.807501
1970-08-11,2.827134
1970-08-12,2.827134
1970-08-13,2.787869
1970-08-14,2.807501
1970-08-17,2.768236
1970-08-18,2.807501
1970-08-19,2.827134
1970-08-20,2.866400
1970-08-21,3.043096
1970-08-24,3.101995
1970-08-25,3.219792
1970-08-26,3.317956
1970-08-27,3.317956
1970-08-28,3.376855
1970-08-31,3.455386
1970-09-01,3.298323
1970-09-02,3.337589
1970-09-03,3.337589
1970-09-04,3.259058
1970-09-08,3.219792
1970-09-09,3.219792
1970-09-10,3.180526
1970-09-11,3.219792
1970-09-14,3.180526
1970-09-15,3.101995
1970-09-16,3.200159
1970-09-17,3.141260
1970-09-18,3.180526
1970-09-21,3.141260
1970-09-22,3.121627
1970-09-23,3.062729
1970-09-24,3.101995
1970-09-25,3.062729
1970-09-28,3.003830
1970-09-29,3.062729
1970-09-30,3.082362
1970-10-01,3.043096
1970-10-02,3.082362
1970-10-05,3.141260
1970-10-06,3.200159
1970-10-07,3.219792
1970-10-08,3.160893
1970-10-09,3.082362
1970-10-12,3.043096
1970-10-13,2.984197
1970-10-14,2.905666
1970-10-15,2.964564
1970-10-16,2.964564
1970-10-19,2.925299
1970-10-20,2.886033
1970-10-21,2.886033
1970-10-22,2.827134
1970-10-23,2.866400
1970-10-26,2.925299
1970-10-27,2.866400
1970-10-28,2.846767
1970-10-29,2.866400
1970-10-30,2.866400
1970-11-02,2.827134
1970-11-03,2.886033
1970-11-04,2.827134
1970-11-05,2.827134
1970-11-06,2.748603
1970-11-09,2.807501
1970-11-10,2.807501
1970-11-11,2.827134
1970-11-12,2.748603
1970-11-13,2.748603
1970-11-16,2.748603
1970-11-17,2.768236
1970-11-18,2.787869
1970-11-19,2.728970
1970-11-20,2.748603
1970-11-23,2.787869
1970-11-24,2.807501
1970-11-25,2.787869
1970-11-27,2.827134
1970-11-30,2.866400
1970-12-01,2.827134
1970-12-02,2.886033
1970-12-03,3.043096
1970-12-04,3.141260
1970-12-07,3.180526
1970-12-08,3.141260
1970-12-09,3.180526
1970-12-10,3.219792
1970-12-11,3.298323
1970-12-14,3.298323
1970-12-15,3.317956
1970-12-16,3.376855
1970-12-17,3.455386
1970-12-18,3.514285
1970-12-21,3.514285
1970-12-22,3.632082
1970-12-23,3.612449
1970-12-24,3.612449
1970-12-28,3.592816
1970-12-29,3.749880
1970-12-30,3.828411
1970-12-31,3.789145
1971-01-04,3.671348
1971-01-05,3.710614
1971-01-06,3.808778
1971-01-07,3.906943
1971-01-08,3.985474
1971-01-11,4.005107
1971-01-12,4.005107
1971-01-13,4.044373
