d,c
2012-05-18,38.230000
2012-05-21,34.029999
2012-05-22,31.000000
2012-05-23,32.000000
2012-05-24,33.029999
2012-05-25,31.910000
2012-05-29,28.840000
2012-05-30,28.190001
2012-05-31,29.600000
2012-06-01,27.719999
2012-06-04,26.900000
2012-06-05,25.870001
2012-06-06,26.809999
2012-06-07,26.309999
2012-06-08,27.100000
2012-06-11,27.010000
2012-06-12,27.400000
2012-06-13,27.270000
2012-06-14,28.290001
2012-06-15,30.010000
2012-06-18,31.410000
2012-06-19,31.910000
2012-06-20,31.600000
2012-06-21,31.840000
2012-06-22,33.049999
2012-06-25,32.060001
2012-06-26,33.099998
2012-06-27,32.230000
2012-06-28,31.360001
2012-06-29,31.100000
2012-07-02,30.770000
2012-07-03,31.200001
2012-07-05,31.469999
2012-07-06,31.730000
2012-07-09,32.169998
2012-07-10,31.469999
2012-07-11,30.969999
2012-07-12,30.809999
2012-07-13,30.719999
2012-07-16,28.250000
2012-07-17,28.090000
2012-07-18,29.110001
2012-07-19,29.000000
2012-07-20,28.760000
2012-07-23,28.750000
2012-07-24,28.450001
2012-07-25,29.340000
2012-07-26,26.850000
2012-07-27,23.709999
2012-07-30,23.150000
2012-07-31,21.709999
2012-08-01,20.879999
2012-08-02,20.040001
2012-08-03,21.090000
2012-08-06,21.920000
2012-08-07,20.719999
2012-08-08,20.719999
2012-08-09,21.010000
2012-08-10,21.809999
2012-08-13,21.600000
2012-08-14,20.379999
2012-08-15,21.200001
2012-08-16,19.870001
2012-08-17,19.049999
2012-08-20,20.010000
2012-08-21,19.160000
2012-08-22,19.440001
2012-08-23,19.440001
2012-08-24,19.410000
2012-08-27,19.150000
2012-08-28,19.340000
2012-08-29,19.100000
2012-08-30,19.090000
2012-08-31,18.059999
2012-09-04,17.730000
2012-09-05,18.580000
2012-09-06,18.959999
2012-09-07,18.980000
2012-09-10,18.809999
2012-09-11,19.430000
2012-09-12,20.930000
2012-09-13,20.709999
2012-09-14,22.000000
2012-09-17,21.520000
2012-09-18,21.870001
2012-09-19,23.290001
2012-09-20,22.590000
2012-09-21,22.860001
2012-09-24,20.790001
2012-09-25,20.280001
2012-09-26,20.620001
2012-09-27,20.320000
2012-09-28,21.660000
2012-10-01,21.990000
2012-10-02,22.270000
2012-10-03,21.830000
2012-10-04,21.950001
2012-10-05,20.910000
2012-10-08,20.400000
2012-10-09,20.230000
2012-10-10,19.639999
2012-10-11,19.750000
2012-10-12,19.520000
2012-10-15,19.520000
2012-10-16,19.480000
2012-10-17,19.879999
2012-10-18,18.980000
2012-10-19,19.000000
2012-10-22,19.320000
2012-10-23,19.500000
2012-10-24,23.230000
2012-10-25,22.559999
2012-10-26,21.940001
2012-10-31,21.110001
2012-11-01,21.209999
2012-11-02,21.180000
2012-11-05,21.250000
2012-11-06,21.170000
2012-11-07,20.469999
2012-11-08,19.990000
2012-11-09,19.209999
2012-11-12,20.070000
2012-11-13,19.860001
2012-11-14,22.360001
2012-11-15,22.170000
2012-11-16,23.559999
2012-11-19,22.920000
2012-11-20,23.100000
2012-11-21,24.320000
2012-11-23,24.000000
2012-11-26,25.940001
2012-11-27,26.150000
2012-11-28,26.360001
2012-11-29,27.320000
2012-11-30,28.000000
2012-12-03,27.040001
2012-12-04,27.459999
2012-12-05,27.709999
2012-12-06,26.969999
2012-12-07,27.490000
2012-12-10,27.840000
2012-12-11,27.980000
2012-12-12,27.580000
2012-12-13,28.240000
2012-12-14,26.809999
2012-12-17,26.750000
2012-12-18,27.709999
2012-12-19,27.410000
2012-12-20,27.360001
2012-12-21,26.260000
