d,c
1985-10-01,112.1400
1985-10-02,110.8250
1985-10-03,110.8700
1985-10-04,110.0750
1985-10-07,108.2000
1985-10-08,107.1600
1985-10-09,108.6300
1985-10-10,109.4350
1985-10-11,111.0500
1985-10-14,113.1850
1985-10-15,113.3800
1985-10-16,114.3150
1985-10-17,114.7400
1985-10-18,114.3200
1985-10-21,113.6800
1985-10-22,114.4400
1985-10-23,115.0650
1985-10-24,115.4850
1985-10-25,113.9100
1985-10-28,113.8200
1985-10-29,115.4000
1985-10-30,115.7700
1985-10-31,115.4800
1985-11-01,116.2750
1985-11-04,116.0400
1985-11-05,116.4400
1985-11-06,117.3800
1985-11-07,117.6200
1985-11-08,119.2600
1985-11-11,120.4000
1985-11-12,121.8200
1985-11-13,121.1650
1985-11-14,121.8350
1985-11-15,122.1750
1985-11-18,121.9550
1985-11-19,122.5700
1985-11-20,122.2000
1985-11-21,123.6100
1985-11-22,123.9700
1985-11-25,123.1350
1985-11-26,123.9500
1985-11-27,125.7700
1985-11-29,126.0600
1985-12-02,125.1850
1985-12-03,125.2300
1985-12-04,127.9400
1985-12-05,128.4600
1985-12-06,126.9550
1985-12-09,127.4850
1985-12-10,127.9750
1985-12-11,129.1800
1985-12-12,129.7650
1985-12-13,132.1250
1985-12-16,132.6100
1985-12-17,131.5350
1985-12-18,131.1400
1985-12-19,131.9250
1985-12-20,132.2600
1985-12-23,130.7250
1985-12-24,130.0300
1985-12-26,130.3450
1985-12-27,131.4850
1985-12-30,131.9450
1985-12-31,132.2950
1986-01-02,131.2550
1986-01-03,130.5500
1986-01-06,130.3550
1986-01-07,132.7900
1986-01-08,131.1600
1986-01-09,128.8000
1986-01-10,129.5650
1986-01-13,129.0950
1986-01-14,129.1800
1986-01-15,131.5350
1986-01-16,133.0600
1986-01-17,132.7700
1986-01-20,131.6050
1986-01-21,131.0900
1986-01-22,129.6150
1986-01-23,129.2700
1986-01-24,130.2000
1986-01-27,130.7950
1986-01-28,131.9900
1986-01-29,133.0600
1986-01-30,132.1900
1986-01-31,132.9250
1986-02-03,134.2400
1986-02-04,134.6000
1986-02-05,135.7150
1986-02-06,136.6400
1986-02-07,137.4200
1986-02-10,138.1250
1986-02-11,138.2600
1986-02-12,138.6650
1986-02-13,139.1650
1986-02-14,140.1600
1986-02-18,140.7350
