d,c
1970-01-02,550.8900
1970-01-05,553.6400
1970-01-06,549.8300
1970-01-07,548.9900
1970-01-08,549.4100
1970-01-09,547.9300
1970-01-12,543.6000
1970-01-13,543.9100
1970-01-14,542.8600
1970-01-15,542.8600
1970-01-16,538.6300
1970-01-19,531.5400
1970-01-20,532.4900
1970-01-21,532.9200
1970-01-22,533.2300
1970-01-23,527.9500
1970-01-26,522.1300
1970-01-27,518.5400
1970-01-28,513.7800
1970-01-29,506.9000
1970-01-30,502.6800
1970-02-02,506.6900
1970-02-03,513.1400
1970-02-04,509.5500
1970-02-05,507.3300
1970-02-06,510.0800
1970-02-09,514.3100
1970-02-10,509.6500
1970-02-11,514.4100
1970-02-12,513.5700
1970-02-13,512.7200
1970-02-16,512.3000
1970-02-17,511.3500
1970-02-18,517.3700
1970-02-19,519.0600
1970-02-20,520.2300
1970-02-24,520.2300
1970-02-25,528.3700
1970-02-26,525.8300
1970-02-27,529.7400
1970-03-02,530.7000
1970-03-03,533.7600
1970-03-04,532.7000
1970-03-05,532.6000
1970-03-06,529.1100
1970-03-09,523.5100
1970-03-10,524.2500
1970-03-11,523.7200
1970-03-12,521.3900
1970-03-13,518.3200
1970-03-16,512.6100
1970-03-17,514.6200
1970-03-18,516.0000
1970-03-19,514.8300
1970-03-20,512.5100
1970-03-23,512.1900
1970-03-24,517.3700
1970-03-25,528.2600
1970-03-26,529.0000
1970-03-30,527.4200
1970-03-31,527.3100
1970-04-01,529.7400
1970-04-02,527.9500
1970-04-03,525.5100
1970-04-06,521.2800
1970-04-07,519.7000
1970-04-08,518.8500
1970-04-09,518.5400
1970-04-10,516.6300
1970-04-13,512.4000
1970-04-14,508.2800
1970-04-15,506.9000
1970-04-16,501.6200
1970-04-17,500.0300
1970-04-20,501.0900
1970-04-21,498.4500
1970-04-22,491.3600
1970-04-23,483.6400
1970-04-24,481.4200
1970-04-27,473.0700
1970-04-28,466.0900
1970-04-29,475.6100
1970-04-30,473.9100
1970-05-01,473.1700
1970-05-04,460.9100
1970-05-05,455.8300
1970-05-06,461.0100
1970-05-07,463.6600
1970-05-08,461.1200
1970-05-11,456.0500
1970-05-12,451.8200
1970-05-13,443.9900
1970-05-14,437.4400
1970-05-15,445.5800
1970-05-18,445.7900
1970-05-19,437.2200
1970-05-20,425.8000
1970-05-21,417.2400
1970-05-22,417.0300
1970-05-25,403.9200
1970-05-26,398.5200
1970-05-27,419.2500
1970-05-28,430.2500
1970-05-29,441.7700
