d,c
1989-01-03,2718.5901
1989-01-04,2752.9800
1989-01-05,2760.9199
1989-01-06,2769.3899
1989-01-09,2773.3201
1989-01-10,2768.1201
1989-01-11,2780.3899
1989-01-12,2790.5901
1989-01-13,2795.8201
1989-01-16,2798.0601
1989-01-17,2792.7600
1989-01-18,2819.1001
1989-01-19,2824.9399
1989-01-20,2824.8000
1989-01-23,2807.9800
1989-01-24,2837.9099
1989-01-25,2843.9800
1989-01-26,2866.1799
1989-01-27,2886.6899
1989-01-30,2896.2900
1989-01-31,2917.2600
1989-02-01,2916.8899
1989-02-02,2918.3601
1989-02-03,2921.6101
1989-02-06,2917.1399
1989-02-07,2947.2400
1989-02-08,2941.4600
1989-02-09,2916.7600
1989-02-10,2884.8201
1989-02-13,2884.3301
1989-02-14,2881.3401
1989-02-15,2902.2700
1989-02-16,2908.5601
1989-02-17,2924.8501
1989-02-21,2917.7000
1989-02-22,2877.1599
1989-02-23,2885.8601
1989-02-24,2846.7000
1989-02-27,2849.4399
1989-02-28,2857.8601
1989-03-01,2846.6399
1989-03-02,2872.2800
1989-03-03,2884.1201
1989-03-06,2912.4399
1989-03-07,2907.3999
1989-03-08,2910.3101
1989-03-09,2909.1899
1989-03-10,2900.3999
1989-03-13,2919.1799
1989-03-14,2917.1201
1989-03-15,2929.4800
1989-03-16,2953.1399
1989-03-17,2894.8601
1989-03-20,2867.9900
1989-03-21,2879.4500
1989-03-22,2873.2600
1989-03-23,2860.9500
1989-03-27,2872.2100
1989-03-28,2881.7300
1989-03-29,2889.1299
1989-03-30,2892.6201
1989-03-31,2915.0701
1989-04-03,2926.7500
1989-04-04,2920.2700
1989-04-05,2928.9399
1989-04-06,2921.9600
1989-04-07,2937.6399
1989-04-10,2938.8301
1989-04-11,2952.4700
1989-04-12,2957.9199
1989-04-13,2937.6399
1989-04-14,2976.6699
1989-04-17,2979.2700
1989-04-18,3014.2800
1989-04-19,3023.9800
1989-04-20,3018.9099
1989-04-21,3045.7700
1989-04-24,3038.6001
1989-04-25,3024.5200
1989-04-26,3028.1599
1989-04-27,3051.0000
1989-04-28,3053.1299
1989-05-01,3049.7200
1989-05-02,3043.7300
1989-05-03,3044.6799
1989-05-04,3043.3799
1989-05-05,3043.7000
1989-05-08,3029.4500
1989-05-09,3021.8000
1989-05-10,3027.6101
1989-05-11,3037.2500
1989-05-12,3092.5701
1989-05-15,3109.9199
1989-05-16,3106.2100
1989-05-17,3125.8799
1989-05-18,3132.5500
1989-05-19,3159.4299
1989-05-22,3163.7100
1989-05-23,3137.1201
1989-05-24,3143.8201
1989-05-25,3146.2600
1989-05-26,3168.4600
1989-05-30,3149.5100
1989-05-31,3162.6101
1989-06-01,3176.5100
1989-06-02,3208.6399
1989-06-05,3181.2800
1989-06-06,3197.9500
1989-06-07,3221.4399
1989-06-08,3227.2600
1989-06-09,3225.9199
1989-06-12,3221.9299
1989-06-13,3200.7400
1989-06-14,3199.0400
1989-06-15,3166.2600
1989-06-16,3174.5601
1989-06-19,3175.8101
1989-06-20,3170.6399
1989-06-21,3165.5000
1989-06-22,3179.8999
1989-06-23,3224.8501
1989-06-26,3213.8799
1989-06-27,3231.0200
1989-06-28,3208.9199
1989-06-29,3155.3301
1989-06-30,3137.0100
1989-07-03,3146.4900
1989-07-05,3157.7300
1989-07-06,3168.5300
1989-07-07,3198.9600
1989-07-10,3216.4199
1989-07-11,3231.7400
1989-07-12,3242.7400
1989-07-13,3247.0500
1989-07-14,3259.2200
1989-07-17,3265.6299
1989-07-18,3258.5100
1989-07-19,3294.5601
1989-07-20,3277.1299
1989-07-21,3292.2400
1989-07-24,3270.7200
1989-07-25,3273.2400
1989-07-26,3307.1799
1989-07-27,3341.8401
1989-07-28,3343.9700
1989-07-31,3377.3999
1989-08-01,3360.2400
1989-08-02,3367.2200
1989-08-03,3375.7400
