d,c
1998-12-22,23.281250
1998-12-23,23.687500
1998-12-24,24.000000
1998-12-28,24.125000
1998-12-29,24.468750
1998-12-30,24.359375
1998-12-31,24.562500
1999-01-04,24.218750
1999-01-05,24.718750
1999-01-06,25.250000
1999-01-07,25.031250
1999-01-08,25.218750
1999-01-11,24.984375
1999-01-12,24.687500
1999-01-13,24.062500
1999-01-14,23.953125
1999-01-15,24.359375
1999-01-19,24.312500
1999-01-20,24.203125
1999-01-21,24.000000
1999-01-22,23.531250
1999-01-25,23.921875
1999-01-26,23.921875
1999-01-27,24.109375
1999-01-28,24.140625
1999-01-29,24.296875
1999-02-01,24.328125
1999-02-02,24.140625
1999-02-03,24.375000
1999-02-04,24.406250
1999-02-05,24.328125
1999-02-08,24.406250
1999-02-09,24.078125
1999-02-10,24.171875
1999-02-11,24.500000
1999-02-12,24.359375
1999-02-16,24.484375
1999-02-17,24.484375
1999-02-18,24.484375
1999-02-19,24.640625
1999-02-22,25.015625
1999-02-23,25.000000
1999-02-24,24.937500
1999-02-25,24.437500
1999-02-26,24.515625
1999-03-01,24.500000
1999-03-02,24.296875
1999-03-03,24.156250
1999-03-04,24.625000
1999-03-05,25.171875
1999-03-08,25.312500
1999-03-09,25.437500
1999-03-10,25.390625
1999-03-11,25.421875
1999-03-12,25.500000
1999-03-15,25.437500
1999-03-16,25.265625
1999-03-17,25.218750
1999-03-18,25.281250
1999-03-19,25.343750
1999-03-22,25.156250
1999-03-23,24.562500
1999-03-24,24.500000
1999-03-25,24.765625
1999-03-26,24.828125
1999-03-29,25.234375
1999-03-30,25.218750
1999-03-31,24.937500
1999-04-01,25.203125
1999-04-05,25.750000
1999-04-06,25.609375
1999-04-07,25.656250
1999-04-08,25.796875
1999-04-09,25.812500
1999-04-12,26.437500
1999-04-13,26.640625
1999-04-14,27.218750
1999-04-15,27.921875
1999-04-16,28.078125
1999-04-19,28.312500
1999-04-20,28.125000
1999-04-21,28.218750
1999-04-22,28.234375
1999-04-23,28.453125
1999-04-26,28.421875
1999-04-27,28.562500
1999-04-28,28.921875
1999-04-29,29.031250
1999-04-30,28.687500
1999-05-03,29.250000
1999-05-04,29.375000
1999-05-05,29.375000
1999-05-06,29.437500
1999-05-07,30.000000
1999-05-10,29.593750
1999-05-11,30.093750
1999-05-12,29.796875
1999-05-13,29.500000
1999-05-14,29.125000
1999-05-17,29.062500
1999-05-18,28.687500
1999-05-19,29.125000
1999-05-20,29.203125
1999-05-21,28.859375
1999-05-24,28.609375
1999-05-25,28.515625
1999-05-26,28.312500
1999-05-27,27.843750
1999-05-28,28.125000
1999-06-01,28.140625
1999-06-02,28.515625
1999-06-03,28.812500
1999-06-04,29.109375
1999-06-07,29.390625
1999-06-08,29.125000
1999-06-09,29.156250
1999-06-10,28.812500
1999-06-11,28.765625
1999-06-14,29.109375
1999-06-15,29.203125
1999-06-16,29.609375
1999-06-17,29.843750
1999-06-18,30.031250
1999-06-21,29.625000
1999-06-22,29.484375
1999-06-23,29.578125
1999-06-24,29.265625
1999-06-25,29.093750
1999-06-28,29.140625
1999-06-29,29.296875
1999-06-30,29.812500
1999-07-01,29.828125
1999-07-02,29.968750
1999-07-06,30.000000
1999-07-07,29.781250
1999-07-08,29.890625
1999-07-09,29.921875
1999-07-12,29.656250
1999-07-13,29.546875
1999-07-14,29.703125
1999-07-15,29.906250
1999-07-16,29.953125
1999-07-19,29.984375
1999-07-20,29.953125
1999-07-21,29.921875
1999-07-22,29.812500
1999-07-23,29.656250
1999-07-26,29.437500
1999-07-27,29.828125
1999-07-28,29.656250
1999-07-29,29.062500
1999-07-30,28.718750
1999-08-02,28.796875
1999-08-03,28.812500
1999-08-04,28.593750
1999-08-05,28.750000
1999-08-06,28.484375
1999-08-09,28.390625
1999-08-10,28.125000
1999-08-11,28.625000
1999-08-12,28.515625
1999-08-13,29.015625
1999-08-16,29.125000
1999-08-17,29.531250
1999-08-18,29.250000
1999-08-19,28.875000
1999-08-20,29.171875
1999-08-23,29.796875
1999-08-24,29.812500
1999-08-25,30.140625
1999-08-26,29.984375
1999-08-27,29.640625
1999-08-30,28.890625
1999-08-31,28.953125
1999-09-01,29.031250
1999-09-02,28.781250
1999-09-03,29.484375
1999-09-07,29.812500
1999-09-08,29.906250
1999-09-09,29.687500
1999-09-10,29.609375
1999-09-13,29.390625
1999-09-14,29.125000
1999-09-15,29.171875
1999-09-16,28.906250
1999-09-17,29.328125
1999-09-20,29.359375
1999-09-21,28.984375
1999-09-22,28.890625
1999-09-23,28.656250
1999-09-24,28.046875
1999-09-27,28.406250
1999-09-28,28.062500
1999-09-29,28.218750
1999-09-30,28.750000
1999-10-01,28.359375
1999-10-04,28.859375
1999-10-05,28.562500
1999-10-06,28.968750
1999-10-07,29.000000
1999-10-08,29.390625
1999-10-11,29.437500
1999-10-12,28.828125
1999-10-13,28.015625
1999-10-14,27.734375
1999-10-15,27.343750
1999-10-18,26.812500
1999-10-19,26.828125
1999-10-20,27.062500
1999-10-21,26.765625
1999-10-22,27.484375
1999-10-25,27.437500
1999-10-26,27.265625
1999-10-27,27.359375
1999-10-28,27.984375
1999-10-29,28.125000
1999-11-01,27.406250
1999-11-02,27.750000
1999-11-03,27.562500
1999-11-04,27.484375
1999-11-05,27.625000
1999-11-08,27.671875
1999-11-09,27.687500
1999-11-10,27.578125
1999-11-11,27.687500
1999-11-12,27.875000
1999-11-15,28.031250
1999-11-16,28.687500
1999-11-17,28.875000
1999-11-18,28.968750
1999-11-19,28.625000
1999-11-22,28.500000
1999-11-23,28.218750
1999-11-24,28.234375
1999-11-26,28.093750
1999-11-29,27.625000
1999-11-30,27.500000
1999-12-01,27.718750
1999-12-02,27.656250
1999-12-03,28.109375
1999-12-06,28.031250
1999-12-07,27.500000
1999-12-08,27.984375
1999-12-09,27.234375
1999-12-10,27.734375
1999-12-13,27.890625
1999-12-14,27.890625
1999-12-15,27.625000
1999-12-16,27.875000
1999-12-17,28.531250
1999-12-20,27.671875
1999-12-21,28.062500
1999-12-22,27.937500
1999-12-23,28.312500
1999-12-27,28.593750
1999-12-28,28.890625
1999-12-29,29.109375
1999-12-30,29.171875
1999-12-31,29.609375
2000-01-03,28.843750
2000-01-04,28.046875
