d,c
1998-12-22,16.023438
1998-12-23,16.406250
1998-12-24,16.343750
1998-12-28,16.390625
1998-12-29,16.437500
1998-12-30,16.375000
1998-12-31,16.312500
1999-01-04,16.500000
1999-01-05,16.921875
1999-01-06,17.421875
1999-01-07,17.367188
1999-01-08,17.437500
1999-01-11,17.609375
1999-01-12,17.132812
1999-01-13,17.125000
1999-01-14,16.890625
1999-01-15,17.390625
1999-01-19,17.992188
1999-01-20,18.156250
1999-01-21,17.687500
1999-01-22,17.375000
1999-01-25,17.679688
1999-01-26,18.390625
1999-01-27,18.000000
1999-01-28,18.632812
1999-01-29,18.906250
1999-02-01,18.921875
1999-02-02,18.601562
1999-02-03,18.734375
1999-02-04,18.093750
1999-02-05,17.656250
1999-02-08,17.953125
1999-02-09,17.250000
1999-02-10,17.375000
1999-02-11,18.109375
1999-02-12,17.390625
1999-02-16,17.312500
1999-02-17,16.921875
1999-02-18,17.015625
1999-02-19,17.171875
1999-02-22,17.781250
1999-02-23,18.015625
1999-02-24,17.515625
1999-02-25,17.562500
1999-02-26,17.031250
1999-03-01,16.953125
1999-03-02,16.500000
1999-03-03,16.781250
1999-03-04,16.953125
1999-03-05,17.343750
1999-03-08,17.843750
1999-03-09,17.656250
1999-03-10,17.656250
1999-03-11,17.625000
1999-03-12,17.468750
1999-03-15,17.750000
1999-03-16,18.054688
1999-03-17,17.937500
1999-03-18,18.187500
1999-03-19,17.750000
1999-03-22,17.750000
1999-03-23,17.234375
1999-03-24,17.570312
1999-03-25,17.984375
1999-03-26,17.890625
1999-03-29,18.562500
1999-03-30,18.531250
1999-03-31,18.296875
1999-04-01,18.585938
1999-04-05,19.226562
1999-04-06,19.390625
1999-04-07,19.343750
1999-04-08,19.531250
1999-04-09,19.500000
1999-04-12,19.203125
1999-04-13,18.906250
1999-04-14,18.437500
1999-04-15,18.593750
1999-04-16,18.093750
1999-04-19,17.218750
1999-04-20,17.656250
1999-04-21,18.125000
1999-04-22,18.960938
1999-04-23,19.000000
1999-04-26,19.484375
1999-04-27,19.000000
1999-04-28,18.750000
1999-04-29,18.554688
1999-04-30,18.406250
1999-05-03,18.562500
1999-05-04,18.281250
1999-05-05,18.656250
1999-05-06,18.187500
1999-05-07,18.500000
1999-05-10,18.656250
1999-05-11,18.937500
1999-05-12,19.312500
1999-05-13,19.257812
1999-05-14,18.750000
1999-05-17,19.015625
1999-05-18,19.187500
1999-05-19,19.250000
1999-05-20,19.000000
1999-05-21,18.781250
1999-05-24,18.375000
1999-05-25,17.992188
1999-05-26,18.367188
1999-05-27,18.234375
1999-05-28,18.468750
1999-06-01,18.054688
1999-06-02,18.250000
1999-06-03,18.125000
1999-06-04,18.664062
1999-06-07,19.000000
1999-06-08,18.562500
1999-06-09,18.843750
1999-06-10,18.562500
1999-06-11,18.312500
1999-06-14,18.226562
1999-06-15,18.390625
1999-06-16,19.148438
1999-06-17,19.359375
1999-06-18,19.531250
1999-06-21,20.023438
1999-06-22,19.601562
1999-06-23,19.750000
1999-06-24,19.343750
1999-06-25,19.367188
1999-06-28,19.687500
1999-06-29,19.937500
1999-06-30,20.242188
1999-07-01,20.468750
1999-07-02,20.734375
1999-07-06,20.617188
1999-07-07,20.859375
1999-07-08,21.140625
1999-07-09,21.367188
1999-07-12,21.398438
1999-07-13,21.304688
1999-07-14,21.570312
1999-07-15,21.726562
1999-07-16,21.921875
1999-07-19,21.656250
1999-07-20,20.757812
1999-07-21,20.937500
1999-07-22,20.289062
1999-07-23,20.343750
1999-07-26,19.882812
1999-07-27,20.375000
1999-07-28,20.562500
1999-07-29,20.218750
1999-07-30,20.007812
1999-08-02,19.968750
1999-08-03,19.890625
1999-08-04,19.648438
1999-08-05,19.804688
1999-08-06,19.812500
1999-08-09,19.585938
1999-08-10,19.257812
1999-08-11,19.875000
1999-08-12,19.625000
1999-08-13,20.250000
1999-08-16,20.312500
1999-08-17,20.406250
1999-08-18,20.171875
1999-08-19,19.968750
1999-08-20,20.031250
1999-08-23,20.492188
1999-08-24,20.812500
1999-08-25,21.250000
1999-08-26,20.992188
1999-08-27,20.875000
1999-08-30,20.531250
1999-08-31,20.710938
1999-09-01,20.820312
1999-09-02,20.742188
1999-09-03,21.500000
1999-09-07,21.507812
1999-09-08,21.359375
1999-09-09,21.546875
1999-09-10,21.781250
1999-09-13,21.484375
1999-09-14,21.718750
1999-09-15,21.265625
1999-09-16,21.171875
1999-09-17,21.593750
1999-09-20,21.687500
1999-09-21,21.242188
1999-09-22,21.281250
1999-09-23,20.500000
1999-09-24,20.546875
1999-09-27,20.757812
1999-09-28,20.851562
1999-09-29,20.468750
1999-09-30,20.625000
1999-10-01,20.500000
1999-10-04,21.000000
1999-10-05,21.125000
1999-10-06,21.382812
1999-10-07,21.273438
1999-10-08,21.257812
1999-10-11,21.468750
1999-10-12,21.085938
1999-10-13,20.531250
1999-10-14,20.414062
1999-10-15,19.929688
1999-10-18,19.750000
1999-10-19,19.437500
1999-10-20,20.218750
1999-10-21,19.890625
1999-10-22,19.937500
1999-10-25,19.992188
1999-10-26,20.000000
1999-10-27,19.976562
1999-10-28,20.492188
1999-10-29,21.250000
1999-11-01,21.218750
1999-11-02,21.125000
1999-11-03,21.437500
1999-11-04,21.601562
1999-11-05,21.835938
1999-11-08,22.054688
1999-11-09,21.812500
1999-11-10,22.195312
1999-11-11,22.500000
1999-11-12,22.625000
1999-11-15,22.523438
1999-11-16,23.000000
1999-11-17,22.781250
1999-11-18,23.554688
1999-11-19,23.773438
1999-11-22,23.921875
1999-11-23,23.710938
1999-11-24,24.078125
1999-11-26,24.265625
1999-11-29,24.054688
1999-11-30,23.335938
1999-12-01,23.562500
1999-12-02,24.125000
1999-12-03,24.812500
1999-12-06,24.984375
1999-12-07,25.046875
1999-12-08,24.781250
1999-12-09,24.718750
1999-12-10,24.843750
1999-12-13,25.007812
1999-12-14,24.531250
1999-12-15,25.031250
1999-12-16,25.500000
1999-12-17,25.781250
1999-12-20,26.031250
1999-12-21,26.531250
1999-12-22,26.531250
1999-12-23,26.671875
1999-12-27,26.875000
1999-12-28,26.625000
1999-12-29,27.054688
1999-12-30,27.031250
1999-12-31,26.937500
2000-01-03,27.718750
2000-01-04,26.312500
2000-01-05,25.921875
2000-01-06,25.062500
2000-01-07,25.500000
2000-01-10,26.468750
2000-01-11,25.718750
2000-01-12,25.609375
2000-01-13,25.843750
2000-01-14,26.437500
2000-01-18,26.578125
2000-01-19,26.625000
2000-01-20,26.781250
2000-01-21,26.812500
2000-01-24,25.937500
2000-01-25,26.492188
2000-01-26,25.625000
2000-01-27,25.375000
2000-01-28,24.468750
2000-01-31,25.281250
2000-02-01,25.812500
2000-02-02,26.000000
2000-02-03,26.750000
2000-02-04,27.062500
2000-02-07,27.375000
2000-02-08,27.625000
2000-02-09,27.281250
2000-02-10,27.929688
2000-02-11,27.187500
2000-02-14,27.203125
2000-02-15,27.281250
2000-02-16,27.140625
2000-02-17,27.750000
2000-02-18,26.812500
2000-02-22,26.750000
2000-02-23,27.562500
2000-02-24,27.906250
2000-02-25,27.640625
2000-02-28,27.312500
2000-02-29,27.937500
2000-03-01,28.218750
2000-03-02,28.500000
2000-03-03,29.289062
2000-03-06,29.242188
2000-03-07,28.437500
2000-03-08,28.937500
2000-03-09,29.812500
2000-03-10,29.875000
2000-03-13,29.437500
2000-03-14,28.765625
2000-03-15,28.265625
2000-03-16,29.250000
2000-03-17,29.937500
2000-03-20,29.812500
2000-03-21,30.593750
2000-03-22,31.125000
2000-03-23,31.718750
2000-03-24,31.992188
2000-03-27,32.250000
2000-03-28,31.468750
2000-03-29,30.546875
2000-03-30,29.718750
2000-03-31,30.281250
2000-04-03,29.000000
2000-04-04,28.718750
2000-04-05,28.906250
2000-04-06,29.281250
2000-04-07,30.281250
2000-04-10,29.187500
2000-04-11,28.468750
2000-04-12,26.625000
2000-04-13,26.117188
2000-04-14,24.750000
2000-04-17,26.093750
2000-04-18,27.578125
2000-04-19,26.671875
2000-04-20,26.437500
2000-04-24,25.625000
2000-04-25,27.109375
2000-04-26,26.593750
2000-04-27,27.421875
