d,o,c
2015-01-02,18.270000,18.230000
2015-01-05,18.150000,17.970000
2015-01-06,17.950000,17.800000
2015-01-07,17.780000,17.690000
2015-01-08,17.660000,17.760000
2015-01-09,17.710000,17.730000
2015-01-12,17.510000,17.340000
2015-01-13,17.280000,17.270000
2015-01-14,17.150000,17.460000
2015-01-15,17.600000,17.220000
2015-01-16,17.350000,17.550000
2015-01-20,17.310000,17.310000
2015-01-21,17.420000,17.420000
2015-01-22,17.510000,17.400000
2015-01-23,17.300000,17.290000
2015-01-26,17.280000,17.230000
2015-01-27,17.210000,17.320000
2015-01-28,17.210000,17.070000
2015-01-29,17.090000,16.990000
2015-01-30,16.950000,17.400000
2015-02-02,17.570000,17.640000
2015-02-03,17.910000,18.130000
2015-02-04,18.030000,17.730000
2015-02-05,17.750000,17.970000
2015-02-06,18.020000,18.020000
2015-02-09,18.140000,18.200000
2015-02-10,18.180000,17.970000
2015-02-11,17.850000,17.830000
2015-02-12,18.000000,18.100000
2015-02-13,18.290000,18.300000
2015-02-17,18.230000,18.310000
2015-02-18,18.240000,18.090000
2015-02-19,17.850000,18.030000
2015-02-20,18.090000,17.960000
2015-02-23,17.860000,17.840000
2015-02-24,17.940000,17.850000
2015-02-25,17.950000,18.120000
2015-02-26,18.060000,17.970000
2015-02-27,18.100000,18.170000
2015-03-02,18.070000,17.910000
2015-03-03,17.980000,18.020000
2015-03-04,17.930000,17.860000
2015-03-05,17.900000,17.790000
2015-03-06,17.720000,17.570000
2015-03-09,17.610000,17.520000
2015-03-10,17.300000,17.290000
2015-03-11,17.320000,17.380000
2015-03-12,17.490000,17.300000
2015-03-13,17.230000,16.950000
2015-03-16,16.900000,16.930000
2015-03-17,16.810000,16.810000
2015-03-18,16.740000,17.270000
2015-03-19,16.980000,16.980000
2015-03-20,17.120000,17.210000
2015-03-23,17.280000,17.410000
2015-03-24,17.340000,17.270000
2015-03-25,17.340000,17.320000
2015-03-26,17.540000,17.530000
2015-03-27,17.410000,17.180000
2015-03-30,17.220000,17.270000
2015-03-31,17.130000,17.070000
2015-04-01,17.130000,17.380000
2015-04-02,17.250000,17.290000
2015-04-06,17.450000,17.510000
2015-04-07,17.510000,17.600000
2015-04-08,17.550000,17.260000
2015-04-09,17.280000,17.260000
2015-04-10,17.390000,17.440000
2015-04-13,17.480000,17.360000
2015-04-14,17.420000,17.440000
2015-04-15,17.550000,17.790000
2015-04-16,17.830000,17.980000
2015-04-17,17.970000,17.940000
2015-04-20,17.810000,17.860000
2015-04-21,17.780000,17.730000
2015-04-22,17.780000,17.790000
2015-04-23,17.860000,18.010000
2015-04-24,17.990000,18.000000
2015-04-27,18.010000,18.000000
2015-04-28,18.020000,18.030000
2015-04-29,18.040000,18.150000
2015-04-30,18.160000,18.290000
2015-05-01,18.190000,18.270000
2015-05-04,18.200000,18.260000
2015-05-05,18.420000,18.410000
2015-05-06,18.410000,18.410000
2015-05-07,18.400000,18.120000
2015-05-08,18.110000,18.220000
2015-05-11,18.220000,18.140000
2015-05-12,18.200000,18.330000
2015-05-13,18.490000,18.350000
2015-05-14,18.460000,18.460000
2015-05-15,18.310000,18.450000
2015-05-18,18.400000,18.400000
2015-05-19,18.210000,18.010000
2015-05-20,18.020000,17.970000
2015-05-21,18.100000,18.190000
2015-05-22,18.040000,17.990000
2015-05-26,17.780000,17.640000
2015-05-27,17.490000,17.400000
2015-05-28,17.380000,17.490000
2015-05-29,17.480000,17.710000
2015-06-01,17.680000,17.670000
2015-06-02,17.780000,17.880000
2015-06-03,17.800000,17.650000
2015-06-04,17.550000,17.490000
2015-06-05,17.320000,17.570000
2015-06-08,17.550000,17.580000
2015-06-09,17.840000,17.860000
2015-06-10,18.050000,17.930000
2015-06-11,17.880000,17.770000
2015-06-12,17.700000,17.590000
2015-06-15,17.470000,17.510000
2015-06-16,17.510000,17.560000
2015-06-17,17.750000,17.610000
2015-06-18,17.660000,17.610000
2015-06-19,17.420000,17.450000
2015-06-22,17.390000,17.510000
2015-06-23,17.480000,17.720000
2015-06-24,17.660000,17.600000
2015-06-25,17.560000,17.620000
2015-06-26,17.690000,17.700000
2015-06-29,17.640000,17.620000
2015-06-30,17.670000,18.000000
2015-07-01,17.860000,17.780000
2015-07-02,17.800000,17.750000
2015-07-06,17.320000,17.170000
2015-07-07,17.060000,17.070000
2015-07-08,17.030000,16.990000
2015-07-09,17.200000,17.190000
2015-07-10,17.230000,17.270000
2015-07-13,17.240000,17.280000
2015-07-14,17.170000,17.220000
2015-07-15,17.110000,17.020000
2015-07-16,17.070000,16.940000
2015-07-17,16.910000,16.850000
2015-07-20,16.670000,16.580000
2015-07-21,16.630000,16.650000
2015-07-22,16.510000,16.410000
2015-07-23,16.470000,16.270000
2015-07-24,16.200000,16.140000
2015-07-27,15.950000,15.830000
2015-07-28,15.920000,15.960000
2015-07-29,15.930000,16.010000
2015-07-30,16.000000,15.950000
2015-07-31,16.020000,15.730000
2015-08-03,15.550000,15.470000
2015-08-04,15.570000,15.560000
2015-08-05,15.600000,15.500000
2015-08-06,15.430000,15.490000
2015-08-07,15.430000,15.430000
2015-08-10,15.500000,15.760000
2015-08-11,15.570000,15.550000
2015-08-12,15.620000,15.500000
2015-08-13,15.440000,15.430000
2015-08-14,15.390000,15.330000
2015-08-17,15.370000,15.270000
