d,o,c
2015-01-02,112.490000,114.080000
2015-01-05,114.780000,115.800000
2015-01-06,116.220000,117.120000
2015-01-07,116.470000,116.430000
2015-01-08,116.450000,115.940000
2015-01-09,116.510000,117.260000
2015-01-12,117.460000,118.560000
2015-01-13,118.960000,118.160000
2015-01-14,119.080000,117.970000
2015-01-15,120.410000,120.940000
2015-01-16,121.730000,122.520000
2015-01-20,123.630000,124.200000
2015-01-21,125.180000,124.230000
2015-01-22,125.070000,125.230000
2015-01-23,124.430000,124.230000
2015-01-26,123.330000,122.990000
2015-01-27,123.560000,124.400000
2015-01-28,123.520000,123.420000
2015-01-29,121.990000,120.760000
2015-01-30,121.300000,123.450000
2015-02-02,121.840000,122.420000
2015-02-03,121.740000,121.050000
2015-02-04,121.630000,121.580000
2015-02-05,120.980000,121.790000
2015-02-06,119.150000,118.640000
2015-02-09,118.830000,119.170000
2015-02-10,118.630000,118.470000
2015-02-11,118.490000,117.070000
2015-02-12,117.680000,117.340000
2015-02-13,118.050000,117.980000
2015-02-17,116.400000,116.010000
2015-02-18,115.990000,116.340000
2015-02-19,116.400000,115.940000
2015-02-20,116.100000,115.280000
2015-02-23,115.110000,115.430000
2015-02-24,115.000000,115.260000
2015-02-25,115.830000,115.700000
2015-02-26,116.540000,116.070000
2015-02-27,116.740000,116.160000
2015-03-02,116.500000,115.680000
2015-03-03,116.040000,115.470000
2015-03-04,115.700000,115.110000
2015-03-05,115.430000,115.000000
2015-03-06,113.170000,111.860000
2015-03-09,112.420000,111.970000
2015-03-10,112.090000,111.420000
2015-03-11,111.230000,110.750000
2015-03-12,111.150000,110.720000
2015-03-13,111.100000,110.880000
2015-03-16,111.090000,110.810000
2015-03-17,109.920000,110.210000
2015-03-18,110.330000,112.370000
2015-03-19,111.850000,112.290000
2015-03-20,112.710000,113.570000
2015-03-23,113.700000,114.290000
2015-03-24,114.350000,114.570000
2015-03-25,115.110000,114.730000
2015-03-26,115.730000,115.480000
2015-03-27,115.140000,115.060000
2015-03-30,113.900000,113.750000
2015-03-31,113.840000,113.660000
2015-04-01,114.560000,115.600000
2015-04-02,115.470000,115.280000
2015-04-06,117.320000,116.690000
2015-04-07,116.270000,116.110000
2015-04-08,115.980000,115.470000
2015-04-09,114.800000,114.670000
2015-04-10,116.000000,115.966000
2015-04-13,115.350000,115.140000
2015-04-14,114.690000,114.440000
2015-04-15,114.800000,115.430000
2015-04-16,115.550000,115.030000
2015-04-17,115.380000,115.600000
2015-04-20,114.820000,114.720000
2015-04-21,114.720000,115.380000
2015-04-22,114.830000,113.830000
2015-04-23,113.900000,114.660000
2015-04-24,113.960000,113.050000
2015-04-27,113.870000,115.330000
2015-04-28,115.360000,116.330000
2015-04-29,116.060000,115.510000
2015-04-30,113.880000,113.470000
2015-05-01,112.420000,113.080000
2015-05-04,114.180000,114.100000
2015-05-05,114.890000,114.420000
2015-05-06,114.590000,114.360000
2015-05-07,113.840000,113.420000
2015-05-08,114.340000,113.970000
2015-05-11,114.090000,113.530000
2015-05-12,114.100000,114.500000
2015-05-13,115.740000,116.550000
2015-05-14,117.280000,117.180000
2015-05-15,116.800000,117.530000
2015-05-18,117.780000,117.520000
2015-05-19,116.550000,115.890000
2015-05-20,116.030000,116.080000
2015-05-21,115.530000,115.690000
2015-05-22,115.510000,115.600000
2015-05-26,113.840000,113.910000
2015-05-27,113.780000,113.890000
2015-05-28,113.850000,114.020000
2015-05-29,114.140000,114.100000
2015-06-01,115.020000,114.000000
2015-06-02,114.360000,114.460000
2015-06-03,114.130000,113.640000
2015-06-04,112.980000,112.840000
2015-06-05,111.600000,112.240000
2015-06-08,112.390000,112.570000
2015-06-09,113.150000,112.820000
2015-06-10,114.140000,113.780000
2015-06-11,113.270000,113.260000
2015-06-12,113.060000,113.230000
2015-06-15,113.280000,113.730000
2015-06-16,113.080000,113.320000
2015-06-17,113.070000,113.850000
2015-06-18,115.190000,115.320000
2015-06-19,115.340000,115.120000
