d,o,c
2015-01-02,31.150000,31.070000
2015-01-05,30.950000,30.260000
2015-01-06,30.310000,29.790000
2015-01-07,30.050000,29.920000
2015-01-08,30.190000,30.390000
2015-01-09,30.420000,29.990000
2015-01-12,29.980000,29.450000
2015-01-13,29.610000,29.220000
2015-01-14,28.900000,29.080100
2015-01-15,29.250000,28.770000
2015-01-16,28.760000,29.190000
2015-01-20,29.260000,29.190000
2015-01-21,29.060000,29.510000
2015-01-22,29.650000,29.860000
2015-01-23,29.820000,29.670000
2015-01-26,29.620000,29.950000
2015-01-27,29.680000,29.740000
2015-01-28,29.840000,28.970000
2015-01-29,28.850000,28.950000
2015-01-30,28.840000,28.990000
2015-02-02,29.070000,29.590000
2015-02-03,29.700000,30.060000
2015-02-04,29.990000,29.720000
2015-02-05,29.910000,30.260000
2015-02-06,30.280000,30.130000
2015-02-09,30.080000,30.090000
2015-02-10,30.330000,30.429900
2015-02-11,30.380000,30.320000
2015-02-12,30.490000,30.550000
2015-02-13,30.560000,31.020000
2015-02-17,31.010000,31.050000
2015-02-18,30.980000,31.000000
2015-02-19,30.780000,30.980000
2015-02-20,30.920000,31.060000
2015-02-23,31.010000,31.010000
2015-02-24,31.040000,31.030000
2015-02-25,31.000000,31.150000
2015-02-26,31.110000,30.880000
2015-02-27,30.910000,30.910000
2015-03-02,30.920000,31.035000
2015-03-03,31.010000,31.050000
2015-03-04,30.950000,30.890000
2015-03-05,30.910000,30.980000
2015-03-06,30.750000,30.577600
2015-03-09,30.570000,30.710000
2015-03-10,30.470000,30.240000
2015-03-11,30.250000,30.100000
2015-03-12,30.120000,30.220000
2015-03-13,30.170000,29.895000
2015-03-16,29.960000,30.250000
2015-03-17,30.150000,30.160000
2015-03-18,30.020000,30.530000
2015-03-19,30.310000,30.230000
2015-03-20,30.380000,30.540000
2015-03-23,30.500000,30.590000
2015-03-24,30.580000,30.400000
2015-03-25,30.490000,30.210000
2015-03-26,30.100000,30.180000
2015-03-27,30.180000,30.240000
2015-03-30,30.330000,30.570000
2015-03-31,30.410000,30.310000
2015-04-01,30.240000,30.160000
2015-04-02,30.110000,30.400000
2015-04-06,30.330000,30.700000
2015-04-07,30.690000,30.680000
2015-04-08,30.720000,30.680000
2015-04-09,30.610000,31.095100
2015-04-10,31.150000,31.300000
2015-04-13,31.170000,31.120000
2015-04-14,31.040000,31.299700
2015-04-15,31.350000,31.690000
2015-04-16,31.740000,31.710000
2015-04-17,31.560000,31.450000
2015-04-20,31.590000,31.670000
2015-04-21,31.640000,31.300000
2015-04-22,31.400000,31.460000
2015-04-23,31.440000,31.830000
2015-04-24,31.800000,31.600000
2015-04-27,31.700000,31.520000
2015-04-28,31.540000,31.670000
2015-04-29,31.550000,31.700000
2015-04-30,31.520000,31.470000
2015-05-01,31.600000,31.730000
2015-05-04,31.820000,31.790000
2015-05-05,31.730000,31.440000
2015-05-06,31.580000,31.170000
2015-05-07,31.130000,31.100000
2015-05-08,31.390000,31.560000
2015-05-11,31.530000,31.280000
2015-05-12,31.170000,31.330000
2015-05-13,31.510000,31.440000
2015-05-14,31.540000,31.610000
2015-05-15,31.680000,31.740000
2015-05-18,31.730000,31.810000
2015-05-19,31.780000,31.660000
2015-05-20,31.670000,31.770000
2015-05-21,31.800000,31.890000
2015-05-22,31.790000,31.770100
