d,o,c
2015-10-01,39.620000,39.640000
2015-10-02,39.340000,40.140000
2015-10-05,40.390000,40.710000
2015-10-06,40.710000,40.400000
2015-10-07,40.560000,40.690000
2015-10-08,40.620000,41.000000
2015-10-09,41.090000,41.080000
2015-10-12,41.050000,41.210000
2015-10-13,41.090000,41.030000
2015-10-14,41.030000,40.750000
2015-10-15,40.870000,41.190000
2015-10-16,41.340000,41.520000
2015-10-19,41.430000,41.610000
2015-10-20,41.550000,41.540000
2015-10-21,41.620000,41.390000
2015-10-22,41.580000,41.990000
2015-10-23,42.210000,42.010000
2015-10-26,42.000000,42.030000
2015-10-27,41.920000,41.970000
2015-10-28,42.060000,42.210000
2015-10-29,42.160000,42.210000
2015-10-30,42.290000,41.960000
2015-11-02,42.090000,42.340000
2015-11-03,42.300000,42.300000
2015-11-04,42.400000,42.200000
2015-11-05,42.230000,42.130000
2015-11-06,42.000000,41.790000
2015-11-09,41.740000,41.490000
2015-11-10,41.470000,41.690000
2015-11-11,41.810000,41.680000
2015-11-12,41.490000,41.190000
2015-11-13,41.140000,40.820000
2015-11-16,40.770000,41.420000
2015-11-17,41.510000,41.370000
2015-11-18,41.460000,41.850000
2015-11-19,41.840000,41.860000
2015-11-20,42.030000,41.970000
2015-11-23,42.010000,41.970000
2015-11-24,41.810000,41.980000
2015-11-25,42.030000,41.990000
2015-11-27,41.970000,42.070000
2015-11-30,42.140000,41.870000
2015-12-01,42.050000,42.320000
2015-12-02,42.340000,41.920000
2015-12-03,41.960000,41.370000
2015-12-04,41.470000,42.200000
2015-12-07,42.090000,42.129000
2015-12-08,41.880000,42.040000
2015-12-09,41.940000,41.680000
2015-12-10,41.730000,41.660000
2015-12-11,41.280000,41.160000
2015-12-14,41.200000,41.450000
2015-12-15,41.710000,41.800000
2015-12-16,41.930000,42.400000
2015-12-17,42.460000,41.970000
2015-12-18,41.840000,41.370000
2015-12-21,41.630000,41.650000
2015-12-22,41.790000,41.970000
2015-12-23,42.150000,42.370000
2015-12-24,42.120000,42.070000
2015-12-28,42.000000,42.090000
2015-12-29,42.300000,42.440000
2015-12-30,42.500000,42.260000
2015-12-31,42.200000,41.820000
2016-01-04,41.350000,41.300000
2016-01-05,41.380000,41.580000
2016-01-06,41.160000,41.320000
2016-01-07,40.710000,40.650000
2016-01-08,40.780000,40.240000
2016-01-11,40.360000,40.300000
2016-01-12,40.580000,40.510000
2016-01-13,40.650000,39.870000
2016-01-14,40.000000,40.280000
2016-01-15,39.540000,39.760000
2016-01-19,40.070000,40.030000
2016-01-20,39.530000,39.410000
2016-01-21,39.520000,39.530000
2016-01-22,39.960000,40.280000
2016-01-25,40.210000,39.940000
2016-01-26,40.070000,40.460000
2016-01-27,40.410000,40.225000
2016-01-28,40.370000,40.280000
2016-01-29,40.470000,41.240000
2016-02-01,41.010000,41.390000
2016-02-02,41.130000,40.960000
2016-02-03,41.130000,41.060000
2016-02-04,40.980000,40.940000
2016-02-05,40.890000,40.460000
2016-02-08,40.160000,40.090000
2016-02-09,39.810000,40.100000
2016-02-10,40.280000,40.200000
2016-02-11,39.780000,39.840000
2016-02-12,40.120000,40.390000
2016-02-16,40.710000,40.880000
2016-02-17,41.040000,41.260000
2016-02-18,41.320000,41.350000
2016-02-19,41.200000,41.380000
2016-02-22,41.650000,41.780000
2016-02-23,41.710000,41.580000
2016-02-24,41.380000,41.770000
2016-02-25,41.840000,42.280000
2016-02-26,42.340000,41.950000
2016-02-29,41.970000,41.670000
2016-03-01,41.920000,42.310000
2016-03-02,42.270000,42.440000
2016-03-03,42.430000,42.520000
2016-03-04,42.520000,42.610000
2016-03-07,42.480000,42.590000
2016-03-08,42.470000,42.450000
2016-03-09,42.580000,42.590000
2016-03-10,42.670000,42.650000
2016-03-11,42.940000,43.150000
2016-03-14,43.100000,43.160000
2016-03-15,42.980000,43.140000
2016-03-16,43.020000,43.350000
2016-03-17,43.400000,43.600000
2016-03-18,43.710000,43.680000
2016-03-21,43.640000,43.640000
2016-03-22,43.520000,43.570000
2016-03-23,43.310000,43.290000
2016-03-24,43.150000,43.290000
2016-03-28,43.350000,43.390000
2016-03-29,43.350000,43.910000
2016-03-30,44.040000,43.990000
2016-03-31,43.980000,43.930000
2016-04-01,43.800000,44.300000
2016-04-04,44.330000,44.220000
2016-04-05,44.060000,43.850000
2016-04-06,43.840000,44.170000
2016-04-07,44.020000,43.880000
2016-04-08,44.080000,43.980000
2016-04-11,44.050000,43.810000
2016-04-12,43.830000,44.080000
2016-04-13,44.260000,44.090000
2016-04-14,44.120000,44.010000
2016-04-15,44.090000,44.140000
2016-04-18,44.100000,44.450000
2016-04-19,44.540000,44.540000
2016-04-20,44.560000,44.290000
2016-04-21,44.300000,43.760000
2016-04-22,43.800000,43.900000
2016-04-25,43.830000,44.000000
2016-04-26,44.050000,43.970000
2016-04-27,43.950000,44.120000
2016-04-28,43.930000,43.920000
2016-04-29,43.800000,43.770000
2016-05-02,43.850000,44.150000
2016-05-03,44.010000,44.000000
2016-05-04,43.820000,44.050000
2016-05-05,44.090000,44.080000
2016-05-06,44.030000,44.220000
2016-05-09,44.230000,44.410000
2016-05-10,44.550000,44.780000
2016-05-11,44.770000,44.410000
2016-05-12,44.530000,44.550000
2016-05-13,44.530000,44.250000
2016-05-16,44.280000,44.630000
2016-05-17,44.570000,44.020000
2016-05-18,43.970000,43.760000
2016-05-19,43.620000,43.740000
2016-05-20,43.880000,43.840000
2016-05-23,43.890000,43.730000
2016-05-24,43.860000,44.170000
2016-05-25,44.270000,44.250000
2016-05-26,44.300000,44.380000
2016-05-27,44.440000,44.490000
2016-05-31,44.580000,44.460000
2016-06-01,44.360000,44.540000
2016-06-02,44.530000,44.720000
2016-06-03,44.730000,44.830000
