d,o,c
2015-10-01,62.750000,62.590000
2015-10-02,61.950000,63.460000
2015-10-05,63.930000,64.840000
2015-10-06,64.890000,64.860000
2015-10-07,65.240000,65.470000
2015-10-08,65.340000,66.160000
2015-10-09,66.280000,66.030000
2015-10-12,66.030000,65.950000
2015-10-13,65.680000,65.580000
2015-10-14,65.520000,65.360000
2015-10-15,65.600000,66.240000
2015-10-16,66.410000,66.640000
2015-10-19,66.470000,66.500000
2015-10-20,66.340000,66.430000
2015-10-21,66.590000,66.150000
2015-10-22,66.510000,67.470000
2015-10-23,68.050000,68.070000
2015-10-26,68.030000,67.820000
2015-10-27,67.610000,67.550000
2015-10-28,67.680000,68.290000
2015-10-29,68.160000,68.100000
2015-10-30,68.260000,67.920000
2015-11-02,67.950000,68.660000
2015-11-03,68.480000,68.860000
2015-11-04,68.960000,68.677500
2015-11-05,68.660000,68.470000
2015-11-06,68.380000,68.350000
2015-11-09,68.190000,67.670000
2015-11-10,67.610000,67.820000
2015-11-11,67.980000,67.770000
2015-11-12,67.420000,66.790000
2015-11-13,66.600000,66.290000
2015-11-16,66.170000,67.310000
2015-11-17,67.440000,67.120000
2015-11-18,67.310000,67.960000
2015-11-19,67.960000,68.110000
2015-11-20,68.340000,68.160000
2015-11-23,68.170000,68.080000
2015-11-24,67.790000,68.310000
2015-11-25,68.340000,68.180000
2015-11-27,68.190000,68.260000
2015-11-30,68.340000,68.070000
2015-12-01,68.320000,68.670000
2015-12-02,68.670000,67.900000
2015-12-03,68.140000,67.040000
2015-12-04,67.160000,68.230000
2015-12-07,68.030000,67.780000
2015-12-08,67.230000,67.160000
2015-12-09,67.020000,66.970000
2015-12-10,67.090000,67.070000
2015-12-11,66.340000,65.910000
2015-12-14,65.970000,66.310000
2015-12-15,66.910000,67.130000
2015-12-16,67.470000,68.070000
2015-12-17,68.180000,67.160000
2015-12-18,67.010000,66.010000
2015-12-21,65.780000,65.840000
2015-12-22,66.160000,66.540000
2015-12-23,67.010000,67.540000
2015-12-24,67.490000,67.350000
2015-12-28,67.090000,67.180000
2015-12-29,67.660000,67.820000
2015-12-30,67.720000,67.410000
2015-12-31,67.150000,66.750000
2016-01-04,65.770000,65.950000
2016-01-05,66.030000,66.280000
2016-01-06,65.380000,65.410000
2016-01-07,64.410000,64.000000
2016-01-08,64.440000,63.280000
2016-01-11,63.630000,63.350000
2016-01-12,63.910000,63.690000
2016-01-13,64.050000,62.500000
2016-01-14,62.770000,63.640000
2016-01-15,62.100000,62.410000
2016-01-19,62.940000,62.400000
2016-01-20,61.490000,61.510000
2016-01-21,61.750000,61.920000
2016-01-22,62.890000,63.080000
2016-01-25,62.860000,62.190000
2016-01-26,62.470000,63.230000
2016-01-27,63.050000,62.910000
2016-01-28,63.410000,63.330000
2016-01-29,63.780000,64.870000
2016-02-01,64.390000,64.710000
2016-02-02,64.020000,63.660000
2016-02-03,64.080000,64.300000
2016-02-04,64.090000,64.400000
2016-02-05,64.240000,63.750000
2016-02-08,63.100000,63.450000
2016-02-09,62.810000,63.380000
2016-02-10,63.630000,63.110000
2016-02-11,62.210000,62.330000
2016-02-12,62.870000,63.560000
2016-02-16,64.220000,64.480000
2016-02-17,64.850000,65.290000
2016-02-18,65.380000,65.300000
2016-02-19,65.030000,65.140000
2016-02-22,65.760000,65.920000
2016-02-23,65.680000,65.160000
2016-02-24,64.620000,65.350000
2016-02-25,65.510000,66.080000
2016-02-26,66.430000,65.720000
2016-02-29,65.730000,65.200000
2016-03-01,65.750000,66.500000
2016-03-02,66.410000,67.000000
2016-03-03,66.960000,67.270000
2016-03-04,67.270000,67.530000
2016-03-07,67.250000,67.830000
2016-03-08,67.510000,67.260000
2016-03-09,67.580000,67.690000
2016-03-10,67.870000,67.670000
2016-03-11,68.220000,68.490000
2016-03-14,68.290000,68.330000
2016-03-15,67.430000,67.740000
2016-03-16,67.630000,68.110000
2016-03-17,68.170000,68.740000
2016-03-18,68.970000,68.880000
2016-03-21,68.780000,68.920000
2016-03-22,68.700000,68.820000
2016-03-23,68.730000,68.410000
2016-03-24,68.060000,68.420000
2016-03-28,68.580000,68.430000
2016-03-29,68.330000,68.960000
2016-03-30,69.300000,69.200000
2016-03-31,69.190000,69.040000
2016-04-01,68.610000,69.350000
2016-04-04,69.290000,69.120000
2016-04-05,68.740000,68.490000
2016-04-06,68.530000,69.040000
2016-04-07,68.600000,68.400000
2016-04-08,68.810000,68.640000
2016-04-11,68.850000,68.510000
2016-04-12,68.570000,69.150000
2016-04-13,69.500000,69.660000
2016-04-14,69.610000,69.610000
2016-04-15,69.600000,69.570000
2016-04-18,69.380000,70.060000
2016-04-19,70.250000,70.450000
2016-04-20,70.450000,70.290000
2016-04-21,70.250000,69.760000
2016-04-22,69.700000,69.870000
2016-04-25,69.700000,69.800000
2016-04-26,69.970000,69.990000
2016-04-27,70.000000,70.400000
2016-04-28,70.010000,69.900000
2016-04-29,69.670000,69.540000
2016-05-02,69.710000,69.960000
2016-05-03,69.560000,69.380000
2016-05-04,69.090000,69.050000
2016-05-05,69.190000,69.010000
2016-05-06,68.810000,69.280000
2016-05-09,69.290000,69.260000
2016-05-10,69.490000,70.060000
2016-05-11,69.960000,69.670000
2016-05-12,69.890000,69.820000
2016-05-13,69.720000,69.110000
2016-05-16,69.160000,69.740000
2016-05-17,69.620000,69.020000
2016-05-18,68.920000,68.890000
2016-05-19,68.630000,68.760000
2016-05-20,69.030000,69.090000
2016-05-23,69.090000,68.940000
2016-05-24,69.290000,69.750000
2016-05-25,70.000000,70.300000
2016-05-26,70.370000,70.300000
2016-05-27,70.400000,70.550000
2016-05-31,70.690000,70.510000
2016-06-01,70.280000,70.630000
2016-06-02,70.530000,70.850000
2016-06-03,70.710000,70.830000
2016-06-06,70.980000,71.180000
2016-06-07,71.320000,71.390000
2016-06-08,71.450000,71.560000
2016-06-09,71.340000,71.480000
2016-06-10,71.050000,71.050000
2016-06-13,70.780000,70.480000
2016-06-14,70.340000,70.430000
2016-06-15,70.570000,70.320000
2016-06-16,70.060000,70.660000
2016-06-17,70.690000,70.580000
2016-06-20,71.370000,70.990000
2016-06-21,70.580000,70.620000
2016-06-22,70.700000,70.500000
2016-06-23,71.110000,71.440000
2016-06-24,69.230000,69.120000
2016-06-27,68.760000,68.200000
2016-06-28,68.920000,69.180000
2016-06-29,69.680000,70.280000
2016-06-30,70.500000,71.460000
2016-07-01,71.410000,71.490000
2016-07-05,71.230000,71.090000
2016-07-06,70.940000,71.470000
2016-07-07,71.520000,71.210000
2016-07-08,71.710000,72.220000
2016-07-11,72.370000,72.480000
2016-07-12,72.720000,72.930000
2016-07-13,72.820000,73.120000
2016-07-14,73.520000,73.420000
2016-07-15,73.650000,73.390000
2016-07-18,73.430000,73.370000
2016-07-19,73.370000,73.290000
2016-07-20,73.630000,73.520000
2016-07-21,73.540000,73.350000
2016-07-22,73.400000,73.700000
2016-07-25,73.650000,73.500000
2016-07-26,73.490000,73.500000
2016-07-27,73.480000,73.160000
2016-07-28,73.010000,73.030000
2016-07-29,72.910000,73.140000
2016-08-01,73.210000,72.930000
2016-08-02,72.920000,72.550000
2016-08-03,72.550000,72.640000
2016-08-04,72.730000,72.700000
2016-08-05,72.960000,73.080000
2016-08-08,73.210000,73.070000
2016-08-09,73.130000,73.040000
2016-08-10,73.120000,72.850000
2016-08-11,73.090000,73.230000
2016-08-12,73.200000,73.120000
2016-08-15,73.290000,73.240000
2016-08-16,73.110000,72.830000
2016-08-17,72.850000,73.050000
2016-08-18,73.080000,73.290000
2016-08-19,73.150000,73.080000
2016-08-22,73.030000,73.040000
2016-08-23,73.280000,73.160000
2016-08-24,73.140000,72.950000
2016-08-25,72.900000,72.960000
2016-08-26,73.030000,72.710000
2016-08-29,72.810000,73.200000
2016-08-30,73.220000,73.050000
2016-08-31,73.000000,72.920000
2016-09-01,72.940000,72.910000
2016-09-02,73.220000,73.250000
2016-09-06,73.350000,73.500000
2016-09-07,73.480000,73.490000
2016-09-08,73.440000,73.460000
2016-09-09,73.020000,71.650000
2016-09-12,71.430000,72.640000
2016-09-13,71.680000,71.030000
2016-09-14,71.080000,70.830000
2016-09-15,70.790000,71.510000
2016-09-16,71.380000,71.250000
2016-09-19,71.500000,71.290000
2016-09-20,71.660000,71.280000
2016-09-21,71.520000,72.070000
2016-09-22,72.430000,72.450000
2016-09-23,72.360000,72.100000
2016-09-26,71.910000,71.480000
2016-09-27,71.490000,71.880000
2016-09-28,71.990000,72.300000
2016-09-29,72.250000,71.670000
2016-09-30,71.990000,72.140000
2016-10-03,72.020000,71.920000
2016-10-04,71.960000,71.440000
2016-10-05,71.690000,71.820000
2016-10-06,71.730000,71.840000
2016-10-07,71.960000,71.720000
2016-10-10,71.990000,71.940000
2016-10-11,71.850000,71.180000
2016-10-12,71.200000,71.210000
2016-10-13,70.780000,71.000000
2016-10-14,71.310000,71.030000
2016-10-17,70.970000,70.860000
2016-10-18,71.300000,71.130000
2016-10-19,71.190000,71.160000
2016-10-20,71.050000,70.940000
2016-10-21,70.820000,70.940000
2016-10-24,71.230000,71.230000
2016-10-25,71.230000,71.230000
2016-10-26,71.090000,71.330000
2016-10-27,71.640000,71.220000
2016-10-28,71.250000,71.080000
2016-10-31,71.200000,71.220000
2016-11-01,71.310000,70.740000
2016-11-02,70.650000,70.290000
2016-11-03,70.350000,70.170000
2016-11-04,70.190000,69.970000
2016-11-07,70.880000,71.390000
2016-11-08,71.350000,71.740000
2016-11-09,71.450000,72.670000
2016-11-10,73.020000,72.920000
2016-11-11,72.740000,72.850000
2016-11-14,73.060000,73.000000
2016-11-15,73.050000,73.540000
2016-11-16,73.490000,73.280000
2016-11-17,73.340000,73.490000
2016-11-18,73.610000,73.440000
2016-11-21,73.600000,73.940000
2016-11-22,74.140000,74.210000
2016-11-23,74.030000,74.160000
2016-11-25,74.250000,74.530000
2016-11-28,74.470000,74.350000
2016-11-29,74.350000,74.390000
2016-11-30,74.580000,74.230000
2016-12-01,74.360000,74.080000
2016-12-02,74.140000,74.130000
2016-12-05,74.440000,74.490000
2016-12-06,74.610000,74.790000
2016-12-07,74.790000,75.810000
2016-12-08,75.800000,75.920000
2016-12-09,76.010000,76.430000
2016-12-12,76.470000,76.580000
2016-12-13,76.850000,77.060000
2016-12-14,76.940000,76.240000
2016-12-15,76.300000,76.630000
2016-12-16,76.870000,76.660000
2016-12-19,76.750000,76.910000
2016-12-20,77.040000,77.170000
2016-12-21,77.160000,76.990000
2016-12-22,76.300000,76.290000
2016-12-23,76.320000,76.390000
2016-12-27,76.470000,76.490000
2016-12-28,76.560000,75.890000
2016-12-29,75.980000,75.980000
2016-12-30,76.090000,75.770000
2017-01-03,76.230000,76.170000
2017-01-04,76.390000,76.390000
2017-01-05,76.390000,76.220000
2017-01-06,76.250000,76.240000
2017-01-09,76.120000,75.760000
2017-01-10,75.810000,75.630000
2017-01-11,75.650000,75.850000
2017-01-12,75.800000,75.690000
2017-01-13,75.750000,75.760000
2017-01-17,75.590000,75.550000
2017-01-18,75.600000,75.670000
2017-01-19,75.680000,75.390000
2017-01-20,75.650000,75.700000
