rank,ticker,name,spmo_weight_pct,live_price_usd,quote_timestamp_utc
1,MU,Micron Technology Inc,10.55547,940.025,2026-08-31T15:29:50Z
2,NVDA,NVIDIA Corp,8.926976,220.26,2026-08-31T15:29:50Z
3,AVGO,Broadcom Inc,6.408315,368.265,2026-08-31T15:29:50Z
4,JNJ,Johnson & Johnson,4.716793,266.37,2026-08-31T15:29:50Z
5,GOOGL,Alphabet Inc,4.488928,338.6,2026-08-31T15:29:50Z
6,AMD,Advanced Micro Devices Inc,3.827869,467.53,2026-08-31T15:29:50Z
7,GOOG,Alphabet Inc,3.557729,334.92,2026-08-31T15:29:50Z
8,LRCX,Lam Research Corp,3.437409,300.875,2026-08-31T15:29:50Z
9,XOM,ExxonMobil Holdings Corp,3.091238,159.3,2026-08-31T15:29:50Z
10,CAT,Caterpillar Inc,2.437758,790.98,2026-08-31T15:29:50Z
11,INTC,Intel Corp,2.360209,89.765,2026-08-31T15:29:50Z
12,SNDK,Sandisk Corp,2.20927,1532.1501,2026-08-31T15:29:50Z
13,CSCO,Cisco Systems Inc,1.888016,110.01,2026-08-31T15:29:50Z
14,AMAT,Applied Materials Inc,1.864209,455.985,2026-08-31T15:29:50Z
15,STX,Seagate Technology Holdings PLC,1.816876,819.17,2026-08-31T15:29:50Z
16,GE,General Electric Co,1.772461,335.67,2026-08-31T15:29:50Z
17,PLTR,Palantir Technologies Inc,1.69251,186.22,2026-08-31T15:29:50Z
18,RTX,RTX Corp,1.691157,208.35,2026-08-31T15:29:50Z
19,WDC,Western Digital Corp,1.565993,450.45,2026-08-31T15:29:50Z
20,GS,Goldman Sachs Group Inc/The,1.473697,1024.69,2026-08-31T15:29:50Z
21,PM,Philip Morris International Inc,1.434508,188.63,2026-08-31T15:29:50Z
22,APH,Amphenol Corp,1.410503,158.085,2026-08-31T15:29:50Z
23,KO,Coca-Cola Co/The,1.406857,89.185,2026-08-31T15:29:50Z
24,NEM,Newmont Corp,1.307684,125.785,2026-08-31T15:29:50Z
25,KLAC,KLA Corp,1.302201,174.36,2026-08-31T15:29:50Z
