d,o,c
2005-05-10,9.110000,9.063000
2005-05-11,9.076000,9.108000
2005-05-12,9.114000,9.032000
2005-05-13,9.039000,9.003000
2005-05-16,9.024000,9.088000
2005-05-17,9.072000,9.143000
2005-05-18,9.196000,9.218000
2005-05-19,9.232000,9.247000
2005-05-20,9.245000,9.260000
2005-05-23,9.278000,9.297000
2005-05-24,9.276000,9.298000
2005-05-25,9.277000,9.284000
2005-05-26,9.320000,9.340000
2005-05-27,9.326000,9.338000
2005-05-31,9.336000,9.285000
2005-06-01,9.270000,9.364000
2005-06-02,9.335000,9.352000
2005-06-03,9.350000,9.275000
2005-06-06,9.252000,9.269000
2005-06-07,9.325000,9.280000
2005-06-08,9.305000,9.300000
2005-06-09,9.240000,9.290000
2005-06-10,9.295000,9.266000
2005-06-13,9.250000,9.299000
2005-06-14,9.286000,9.328000
2005-06-15,9.317000,9.300000
2005-06-16,9.322000,9.340000
2005-06-17,9.390000,9.383000
2005-06-20,9.357000,9.389000
2005-06-21,9.388000,9.384000
2005-06-22,9.398000,9.360000
2005-06-23,9.341000,9.242000
2005-06-24,9.227000,9.208000
2005-06-27,9.183000,9.164000
2005-06-28,9.186000,9.225000
2005-06-29,9.241000,9.247000
2005-06-30,9.187000,9.118000
2005-07-01,9.150000,9.119000
2005-07-05,9.135000,9.214000
2005-07-06,9.207000,9.138000
2005-07-07,9.030000,9.140000
2005-07-08,9.174000,9.258000
2005-07-11,9.265000,9.287000
2005-07-12,9.300000,9.321000
2005-07-13,9.334000,9.340000
2005-07-14,9.400000,9.398000
2005-07-15,9.367000,9.391000
2005-07-18,9.350000,9.321000
2005-07-19,9.326000,9.336000
2005-07-20,9.343000,9.396000
2005-07-21,9.368000,9.368000
2005-07-22,9.345000,9.358000
2005-07-25,9.360000,9.320000
2005-07-26,9.339000,9.347000
2005-07-27,9.340000,9.368000
2005-07-28,9.392000,9.404000
2005-07-29,9.416000,9.320000
2005-08-01,9.350000,9.368000
2005-08-02,9.343000,9.390000
2005-08-03,9.390000,9.416000
2005-08-04,9.383000,9.360000
2005-08-05,9.336000,9.316000
2005-08-08,9.329000,9.289000
2005-08-09,9.335000,9.326000
2005-08-10,9.389000,9.379000
2005-08-11,9.377000,9.327000
2005-08-12,9.329000,9.338000
2005-08-15,9.315000,9.346000
2005-08-16,9.335000,9.306000
2005-08-17,9.275000,9.285000
2005-08-18,9.265000,9.281000
2005-08-19,9.286000,9.260000
2005-08-22,9.285000,9.275000
2005-08-23,9.280000,9.249000
2005-08-24,9.226000,9.168000
2005-08-25,9.181000,9.174000
2005-08-26,9.153000,9.149000
2005-08-29,9.120000,9.193000
2005-08-30,9.156000,9.167000
2005-08-31,9.167000,9.243000
2005-09-01,9.249000,9.260000
2005-09-02,9.266000,9.239000
2005-09-06,9.294000,9.347000
2005-09-07,9.350000,9.375000
2005-09-08,9.360000,9.363000
2005-09-09,9.386000,9.414000
2005-09-12,9.420000,9.406000
2005-09-13,9.373000,9.331000
2005-09-14,9.358000,9.314000
2005-09-15,9.333000,9.322000
2005-09-16,9.347000,9.359000
2005-09-19,9.343000,9.309000
2005-09-20,9.340000,9.274000
2005-09-21,9.249000,9.198000
2005-09-22,9.215000,9.225000
2005-09-23,9.192000,9.200000
2005-09-26,9.221000,9.185000
2005-09-27,9.163000,9.185000
2005-09-28,9.170000,9.200000
2005-09-29,9.178000,9.276000
2005-09-30,9.254000,9.240000
2005-10-03,9.275010,9.217000
2005-10-04,9.220000,9.139000
2005-10-05,9.145000,9.046000
2005-10-06,9.055000,9.021000
2005-10-07,9.065000,9.039000
2005-10-10,9.030000,9.005000
2005-10-11,9.035000,8.996000
2005-10-12,9.007000,8.980000
2005-10-13,8.984000,8.974000
2005-10-14,9.005000,9.026000
2005-10-17,9.035000,9.023000
2005-10-18,9.021000,8.970000
2005-10-19,8.939000,9.082000
2005-10-20,9.030000,8.939000
2005-10-21,8.990000,8.942000
2005-10-24,8.988000,9.066000
2005-10-25,9.055000,9.074000
2005-10-26,9.100000,9.046000
2005-10-27,9.029000,8.970000
2005-10-28,9.045000,9.093000
2005-10-31,9.150000,9.139000
2005-11-01,9.119000,9.098000
2005-11-02,9.155000,9.168000
2005-11-03,9.215000,9.210000
2005-11-04,9.222000,9.220000
2005-11-07,9.229000,9.229000
2005-11-08,9.225000,9.239000
2005-11-09,9.229000,9.249000
2005-11-10,9.260000,9.332000
2005-11-11,9.330000,9.357000
2005-11-14,9.370000,9.354000
2005-11-15,9.352000,9.322000
2005-11-16,9.318000,9.327000
2005-11-17,9.341000,9.367750
2005-11-18,9.425000,9.438000
2005-11-21,9.440000,9.493000
2005-11-22,9.472000,9.530000
2005-11-23,9.530000,9.574000
2005-11-25,9.600000,9.595000
2005-11-28,9.585000,9.526000
2005-11-29,9.561000,9.509000
2005-11-30,9.520000,9.447000
2005-12-01,9.510000,9.523000
2005-12-02,9.524000,9.513000
2005-12-05,9.499000,9.499000
2005-12-06,9.537000,9.506000
2005-12-07,9.508000,9.460000
2005-12-08,9.460000,9.431000
2005-12-09,9.440000,9.440000
2005-12-12,9.464000,9.443000
2005-12-13,9.445000,9.492000
2005-12-14,9.534000,9.538000
2005-12-15,9.550000,9.548000
2005-12-16,9.527000,9.482000
2005-12-19,9.508000,9.463000
2005-12-20,9.469000,9.440830
2005-12-21,9.478000,9.440000
2005-12-22,9.454000,9.469000
2005-12-23,9.485000,9.488750
2005-12-27,9.496000,9.395000
2005-12-28,9.415000,9.396000
2005-12-29,9.397000,9.362000
2005-12-30,9.332000,9.313000
2006-01-03,9.371000,9.485000
2006-01-04,9.497000,9.519000
2006-01-05,9.515000,9.516000
2006-01-06,9.540000,9.601000
2006-01-09,9.609000,9.626000
2006-01-10,9.608000,9.616000
2006-01-11,9.635000,9.674000
2006-01-12,9.654000,9.607000
2006-01-13,9.614000,9.620000
2006-01-17,9.605000,9.585000
2006-01-18,9.535000,9.528000
2006-01-19,9.537000,9.563000
2006-01-20,9.524000,9.347000
2006-01-23,9.352000,9.356000
2006-01-24,9.375000,9.363000
2006-01-25,9.368000,9.346000
2006-01-26,9.393000,9.400000
2006-01-27,9.430000,9.479000
2006-01-30,9.485000,9.492000
2006-01-31,9.461000,9.426000
2006-02-01,9.431000,9.468000
2006-02-02,9.455000,9.391000
2006-02-03,9.366000,9.327000
2006-02-06,9.333000,9.329000
2006-02-07,9.313000,9.253000
2006-02-08,9.293000,9.368000
2006-02-09,9.386000,9.373000
2006-02-10,9.330000,9.395000
2006-02-13,9.384000,9.362000
2006-02-14,9.377000,9.447000
2006-02-15,9.439000,9.479000
2006-02-16,9.485000,9.494000
2006-02-17,9.518000,9.520190
2006-02-21,9.530000,9.483000
2006-02-22,9.495000,9.551000
2006-02-23,9.513000,9.515000
2006-02-24,9.522000,9.521000
2006-02-27,9.530000,9.565000
2006-02-28,9.547000,9.476000
2006-03-01,9.513000,9.533000
2006-03-02,9.510000,9.525000
2006-03-03,9.510000,9.510000
2006-03-06,9.492000,9.456000
2006-03-07,9.462000,9.467000
2006-03-08,9.450000,9.499000
2006-03-09,9.510000,9.443000
2006-03-10,9.460000,9.499000
2006-03-13,9.531000,9.514000
2006-03-14,9.516000,9.598000
2006-03-15,9.580000,9.618000
2006-03-16,9.664000,9.652000
2006-03-17,9.600000,9.584000
2006-03-20,9.584000,9.592000
2006-03-21,9.592000,9.552000
2006-03-22,9.552000,9.604000
2006-03-23,9.555010,9.567000
2006-03-24,9.554000,9.581000
2006-03-27,9.579000,9.565000
2006-03-28,9.564000,9.482000
2006-03-29,9.465000,9.539000
2006-03-30,9.541000,9.528000
2006-03-31,9.545000,9.491000
2006-04-03,9.515000,9.505000
2006-04-04,9.523000,9.560000
2006-04-05,9.570000,9.588000
2006-04-06,9.577000,9.549000
2006-04-07,9.534000,9.462000
2006-04-10,9.486000,9.471000
2006-04-11,9.436000,9.410000
2006-04-12,9.435000,9.416000
2006-04-13,9.416000,9.419000
2006-04-17,9.435000,9.375000
2006-04-18,9.427000,9.516000
2006-04-19,9.525000,9.512000
2006-04-20,9.510000,9.528000
2006-04-21,9.571000,9.534000
