d,o,h,l,c
2015-10-01,21.695000,21.725000,21.227500,21.390000
2015-10-02,21.550000,21.675000,21.352500,21.675000
2015-10-05,21.735000,21.990000,21.655000,21.955000
2015-10-06,21.910000,21.975000,21.670000,21.805000
2015-10-07,21.830000,21.875000,21.695000,21.730000
2015-10-08,21.715000,22.035000,21.647500,22.000000
2015-10-09,21.995000,22.015000,21.825050,21.895000
2015-10-12,21.975000,22.220000,21.900500,22.090000
2015-10-13,22.070000,22.162500,21.995000,22.040000
2015-10-14,22.140000,22.197500,22.005000,22.035000
2015-10-15,22.120000,22.400000,22.015000,22.360000
2015-10-16,22.380000,22.530000,22.320000,22.390000
2015-10-19,22.370000,22.415000,22.180000,22.405000
2015-10-20,22.335000,22.572500,22.320000,22.480000
2015-10-21,22.545000,22.665000,22.420000,22.435000
2015-10-22,22.530000,22.760000,22.450000,22.695000
2015-10-23,22.675000,22.685000,22.281550,22.295000
2015-10-26,22.345000,22.360000,22.040500,22.215000
2015-10-27,22.195000,22.245000,22.062500,22.135000
2015-10-28,22.140000,22.225000,21.655000,21.900000
2015-10-29,21.790000,21.860000,21.482500,21.775000
2015-10-30,21.800000,21.960000,21.720000,21.875000
2015-11-02,21.860000,21.945000,21.730000,21.900000
2015-11-03,21.820000,21.990000,21.760000,21.965000
2015-11-04,21.940000,22.147500,21.940000,22.080000
2015-11-05,22.035000,22.100000,21.890000,21.890000
2015-11-06,21.535000,21.585000,20.945000,21.125000
2015-11-09,21.030000,21.280000,20.985000,21.180000
2015-11-10,21.190000,21.435000,21.150000,21.370000
2015-11-11,21.430000,21.595000,21.385000,21.555000
2015-11-12,21.500000,21.705000,21.335000,21.350000
2015-11-13,21.375000,21.523250,21.205000,21.270000
2015-11-16,21.310000,21.635000,21.235000,21.630000
2015-11-17,21.620000,21.747500,21.180000,21.240000
2015-11-18,21.255000,21.419950,21.065050,21.375000
2015-11-19,21.425000,21.647500,21.405000,21.605000
2015-11-20,21.640000,21.850000,21.600000,21.695000
2015-11-23,21.720000,21.745500,21.460000,21.495000
2015-11-24,21.400000,21.492500,21.295000,21.465000
2015-11-25,21.460000,21.460000,21.255000,21.335000
2015-11-27,21.395000,21.475000,21.345000,21.375000
2015-11-30,21.400000,21.565000,21.365000,21.410000
2015-12-01,21.460000,21.625000,21.375000,21.580000
2015-12-02,21.495000,21.550000,21.095000,21.100000
2015-12-03,21.065000,21.070000,20.870000,20.940000
2015-12-04,21.015000,21.265000,20.950000,21.235000
2015-12-07,21.185000,21.340000,21.085050,21.330000
2015-12-08,21.245000,21.330000,21.130000,21.300000
2015-12-09,21.205000,21.530000,21.135000,21.305000
2015-12-10,21.275000,21.315000,20.935000,20.952500
2015-12-11,20.905000,21.065000,20.750000,20.895000
2015-12-14,20.975000,21.002500,20.752500,21.000000
2015-12-15,21.030000,21.295000,21.017500,21.165000
2015-12-16,21.245000,21.735000,21.180000,21.700000
2015-12-17,21.740000,21.865000,21.578850,21.745000
2015-12-18,21.495000,21.520000,21.090000,21.255000
2015-12-21,21.305000,21.390000,21.130000,21.240000
2015-12-22,21.300000,21.475000,21.105000,21.420000
2015-12-23,21.455000,21.797500,21.425000,21.750000
2015-12-24,21.675000,21.800000,21.675000,21.735000
2015-12-28,21.605000,21.802500,21.605000,21.775000
2015-12-29,21.880000,21.970000,21.840000,21.895000
2015-12-30,21.910000,21.970000,21.830000,21.875000
2015-12-31,21.840000,21.900000,21.445000,21.640000
2016-01-04,21.515000,21.600000,21.335000,21.595000
2016-01-05,21.585000,21.805000,21.277500,21.750000
2016-01-06,21.620000,21.800000,21.535000,21.710000
2016-01-07,21.475000,21.674950,21.434750,21.565000
2016-01-08,21.580000,21.730000,21.515000,21.555000
2016-01-11,21.570000,21.767500,21.560000,21.670000
2016-01-12,21.685000,21.749850,21.415000,21.585000
2016-01-13,21.665000,21.757500,21.510000,21.575000
2016-01-14,21.570000,22.022500,21.500000,21.900000
2016-01-15,21.680000,21.840000,21.445000,21.705000
2016-01-19,21.820000,22.090000,21.735000,22.030000
2016-01-20,21.940000,21.975000,21.225000,21.535000
2016-01-21,21.600000,21.680000,21.325000,21.515000
2016-01-22,21.645000,21.915000,21.540000,21.900000
2016-01-25,21.890000,21.945000,21.635000,21.715000
2016-01-26,21.765000,22.080000,21.765000,21.865000
